X,Depth,Resistivity,Conductivity
12.5,1.25,41.62,0.024
17.5,1.25,42,0.0238
22.5,1.25,40.37,0.0248
27.5,1.25,40.19,0.0249
32.5,1.25,40.09,0.0249
37.5,1.25,39.9,0.0251
42.5,1.25,39.4,0.0254
47.5,1.25,39.36,0.0254
52.5,1.25,37.48,0.0267
57.5,1.25,36.31,0.0275
62.5,1.25,32.68,0.0306
67.5,1.25,32.6,0.0307
72.5,1.25,32.65,0.0306
77.5,1.25,32.69,0.0306
82.5,1.25,33.23,0.0301
87.5,1.25,33.28,0.03
92.5,1.25,41.87,0.0239
97.5,1.25,35.69,0.028
102.5,1.25,44.8,0.0223
107.5,1.25,34.43,0.029
112.5,1.25,31.17,0.0321
117.5,1.25,29.59,0.0338
122.5,1.25,33.93,0.0295
127.5,1.25,38.73,0.0258
132.5,1.25,37.36,0.0268
137.5,1.25,35.54,0.0281
142.5,1.25,34.47,0.029
147.5,1.25,33.63,0.0297
152.5,1.25,32.65,0.0306
157.5,1.25,35.71,0.028
162.5,1.25,34.66,0.0289
167.5,1.25,36.43,0.0274
172.5,1.25,36.43,0.0274
177.5,1.25,29.97,0.0334
182.5,1.25,29.5,0.0339
187.5,1.25,29.65,0.0337
192.5,1.25,29.39,0.034
197.5,1.25,24.14,0.0414
202.5,1.25,25.14,0.0398
207.5,1.25,22,0.0455
212.5,1.25,23.14,0.0432
217.5,1.25,21.75,0.046
222.5,1.25,21.37,0.0468
227.5,1.25,20.47,0.0489
232.5,1.25,19.88,0.0503
237.5,1.25,22.24,0.045
242.5,1.25,18.55,0.0539
247.5,1.25,20.99,0.0476
252.5,1.25,23.12,0.0433
257.5,1.25,25.07,0.0399
262.5,1.25,26.39,0.0379
267.5,1.25,26.64,0.0375
272.5,1.25,27.09,0.0369
277.5,1.25,29.32,0.0341
282.5,1.25,28.06,0.0356
287.5,1.25,28.45,0.0351
292.5,1.25,27.56,0.0363
297.5,1.25,29.37,0.034
302.5,1.25,32.08,0.0312
307.5,1.25,29.75,0.0336
312.5,1.25,28.89,0.0346
317.5,1.25,27.44,0.0364
322.5,1.25,27.24,0.0367
327.5,1.25,26.91,0.0372
332.5,1.25,29.04,0.0344
337.5,1.25,32.06,0.0312
342.5,1.25,34.36,0.0291
347.5,1.25,36.35,0.0275
352.5,1.25,34.56,0.0289
357.5,1.25,37.86,0.0264
362.5,1.25,37.16,0.0269
367.5,1.25,32.55,0.0307
372.5,1.25,33.27,0.0301
377.5,1.25,32.81,0.0305
382.5,1.25,35.23,0.0284
387.5,1.25,35.2,0.0284
392.5,1.25,36.48,0.0274
397.5,1.25,30.22,0.0331
402.5,1.25,29.5,0.0339
407.5,1.25,26.7,0.0375
412.5,1.25,27.82,0.0359
417.5,1.25,28.65,0.0349
422.5,1.25,29.77,0.0336
427.5,1.25,29.09,0.0344
432.5,1.25,27.48,0.0364
437.5,1.25,25.64,0.039
442.5,1.25,25.22,0.0397
447.5,1.25,22.72,0.044
452.5,1.25,21.13,0.0473
457.5,1.25,20.55,0.0487
462.5,1.25,19.53,0.0512
467.5,1.25,19.57,0.0511
472.5,1.25,20.12,0.0497
477.5,1.25,21.26,0.047
482.5,1.25,20.49,0.0488
487.5,1.25,22,0.0455
492.5,1.25,21.35,0.0468
497.5,1.25,23.75,0.0421
502.5,1.25,25.03,0.04
507.5,1.25,24.6,0.0407
512.5,1.25,27.07,0.0369
