X,Depth,Resistivity,Conductivity
12.5,1.25,96.07,0.0104
17.5,1.25,91.4,0.0109
22.5,1.25,100.53,0.009947
27.5,1.25,65.39,0.0153
32.5,1.25,59.49,0.0168
37.5,1.25,59.52,0.0168
42.5,1.25,56.31,0.0178
47.5,1.25,75.36,0.0133
52.5,1.25,72.86,0.0137
57.5,1.25,82.61,0.0121
62.5,1.25,89.78,0.0111
67.5,1.25,114.77,0.008713
72.5,1.25,113.41,0.008818
77.5,1.25,104.3,0.009588
82.5,1.25,176.2,0.005675
87.5,1.25,80.04,0.0125
92.5,1.25,143.96,0.006946
97.5,1.25,140.97,0.007094
102.5,1.25,141.03,0.007091
107.5,1.25,162.6,0.00615
112.5,1.25,121.43,0.008235
117.5,1.25,127.62,0.007836
122.5,1.25,134.01,0.007462
127.5,1.25,116.1,0.008613
132.5,1.25,81.51,0.0123
137.5,1.25,100.41,0.009959
142.5,1.25,73.82,0.0135
147.5,1.25,120.5,0.008299
152.5,1.25,143.52,0.006968
157.5,1.25,104.85,0.009537
162.5,1.25,91.15,0.011
167.5,1.25,90.02,0.0111
172.5,1.25,106.03,0.009431
177.5,1.25,75.03,0.0133
182.5,1.25,76.71,0.013
187.5,1.25,76.65,0.013
192.5,1.25,54.76,0.0183
197.5,1.25,81.21,0.0123
202.5,1.25,76.4,0.0131
207.5,1.25,70.72,0.0141
212.5,1.25,61.87,0.0162
217.5,1.25,87.74,0.0114
222.5,1.25,90.91,0.011
227.5,1.25,97.27,0.0103
232.5,1.25,76.57,0.0131
237.5,1.25,89.75,0.0111
242.5,1.25,77.68,0.0129
247.5,1.25,74.41,0.0134
252.5,1.25,78.13,0.0128
257.5,1.25,61.79,0.0162
262.5,1.25,68.66,0.0146
267.5,1.25,76.32,0.0131
272.5,1.25,75.37,0.0133
277.5,1.25,69.21,0.0144
282.5,1.25,70.22,0.0142
287.5,1.25,49.19,0.0203
292.5,1.25,48.4,0.0207
297.5,1.25,54.13,0.0185
302.5,1.25,62.18,0.0161
307.5,1.25,50.59,0.0198
312.5,1.25,56.33,0.0178
317.5,1.25,57.09,0.0175
322.5,1.25,68.14,0.0147
327.5,1.25,66.36,0.0151
332.5,1.25,57.72,0.0173
337.5,1.25,59.33,0.0169
342.5,1.25,67,0.0149
347.5,1.25,67.72,0.0148
352.5,1.25,85.08,0.0118
357.5,1.25,72.77,0.0137
362.5,1.25,72.67,0.0138
367.5,1.25,48.46,0.0206
372.5,1.25,52.83,0.0189
377.5,1.25,68.68,0.0146
382.5,1.25,76.72,0.013
387.5,1.25,68.8,0.0145
392.5,1.25,65.29,0.0153
397.5,1.25,50.63,0.0198
402.5,1.25,58.95,0.017
407.5,1.25,62.81,0.0159
412.5,1.25,71.93,0.0139
417.5,1.25,64.05,0.0156
422.5,1.25,61.72,0.0162
427.5,1.25,58.65,0.0171
432.5,1.25,60.68,0.0165
437.5,1.25,52.01,0.0192
442.5,1.25,58.79,0.017
447.5,1.25,47.37,0.0211
452.5,1.25,69.11,0.0145
457.5,1.25,45.51,0.022
462.5,1.25,48.83,0.0205
467.5,1.25,37.98,0.0263
472.5,1.25,43.73,0.0229
477.5,1.25,42.31,0.0236
482.5,1.25,42.59,0.0235
487.5,1.25,29.36,0.0341
492.5,1.25,32.55,0.0307
497.5,1.25,29.37,0.034
502.5,1.25,24.85,0.0402
507.5,1.25,24.76,0.0404
512.5,1.25,34.08,0.0293
517.5,1.25,34.03,0.0294
522.5,1.25,33.57,0.0298
527.5,1.25,33.65,0.0297
532.5,1.25,35.48,0.0282
537.5,1.25,46.99,0.0213
542.5,1.25,28.47,0.0351
547.5,1.25,28.21,0.0354
552.5,1.25,31.13,0.0321
557.5,1.25,17.44,0.0573
12.5,3.75,95.41,0.0105
17.5,3.75,92.48,0.0108
22.5,3.75,92.36,0.0108
27.5,3.75,65.02,0.0154
32.5,3.75,51.78,0.0193
37.5,3.75,51.75,0.0193
42.5,3.75,51.74,0.0193
47.5,3.75,58.91,0.017
52.5,3.75,73.04,0.0137
57.5,3.75,82.63,0.0121
62.5,3.75,82.6,0.0121
67.5,3.75,102.77,0.00973
72.5,3.75,130.23,0.007679
