X,Depth,Resistivity,Conductivity
6.25,1.25,48.47,0.0206
8.75,1.25,19.98,0.05
11.25,1.25,18.61,0.0537
13.75,1.25,31.3,0.032
16.25,1.25,24.12,0.0415
18.75,1.25,23.76,0.0421
21.25,1.25,23.33,0.0429
23.75,1.25,23.61,0.0424
26.25,1.25,23.58,0.0424
28.75,1.25,22.61,0.0442
31.25,1.25,25.1,0.0398
33.75,1.25,25.17,0.0397
36.25,1.25,23.61,0.0424
38.75,1.25,24.09,0.0415
41.25,1.25,24.36,0.0411
43.75,1.25,22.89,0.0437
46.25,1.25,20.67,0.0484
48.75,1.25,28.67,0.0349
51.25,1.25,20.27,0.0493
53.75,1.25,29.56,0.0338
56.25,1.25,25.19,0.0397
58.75,1.25,26.91,0.0372
61.25,1.25,25.17,0.0397
63.75,1.25,26.11,0.0383
66.25,1.25,22.52,0.0444
68.75,1.25,36.38,0.0275
71.25,1.25,51.41,0.0194
73.75,1.25,23.19,0.0431
76.25,1.25,34.41,0.0291
78.75,1.25,47.95,0.0209
81.25,1.25,50.2,0.0199
83.75,1.25,21.34,0.0469
86.25,1.25,36.86,0.0271
88.75,1.25,22.85,0.0438
91.25,1.25,32.78,0.0305
93.75,1.25,21.01,0.0476
96.25,1.25,29.02,0.0345
98.75,1.25,16.49,0.0606
101.25,1.25,16.75,0.0597
103.75,1.25,12.8,0.0781
106.25,1.25,11.1,0.0901
108.75,1.25,19.7,0.0508
111.25,1.25,13.93,0.0718
113.75,1.25,20.4,0.049
116.25,1.25,14.99,0.0667
118.75,1.25,24.11,0.0415
121.25,1.25,18.58,0.0538
123.75,1.25,28,0.0357
126.25,1.25,26.12,0.0383
128.75,1.25,34.12,0.0293
131.25,1.25,34.01,0.0294
133.75,1.25,31.42,0.0318
136.25,1.25,30.76,0.0325
138.75,1.25,26.52,0.0377
141.25,1.25,25.88,0.0386
143.75,1.25,22.2,0.045
146.25,1.25,16.31,0.0613
148.75,1.25,19.19,0.0521
151.25,1.25,19.43,0.0515
153.75,1.25,12.59,0.0794
156.25,1.25,13.95,0.0717
158.75,1.25,27.11,0.0369
161.25,1.25,24.1,0.0415
163.75,1.25,21.82,0.0458
166.25,1.25,29.85,0.0335
168.75,1.25,29.62,0.0338
171.25,1.25,30.53,0.0328
173.75,1.25,35.38,0.0283
176.25,1.25,30.93,0.0323
178.75,1.25,40.28,0.0248
181.25,1.25,31.36,0.0319
183.75,1.25,43.52,0.023
186.25,1.25,36.2,0.0276
188.75,1.25,46.41,0.0215
191.25,1.25,35.69,0.028
193.75,1.25,35.47,0.0282
196.25,1.25,32.01,0.0312
198.75,1.25,27.35,0.0366
201.25,1.25,30.64,0.0326
203.75,1.25,30.3,0.033
206.25,1.25,30.68,0.0326
208.75,1.25,30.67,0.0326
211.25,1.25,32.46,0.0308
213.75,1.25,29.48,0.0339
216.25,1.25,32.45,0.0308
218.75,1.25,32.92,0.0304
221.25,1.25,32.19,0.0311
223.75,1.25,29.86,0.0335
226.25,1.25,29.42,0.034
228.75,1.25,32.77,0.0305
231.25,1.25,39.07,0.0256
233.75,1.25,30.79,0.0325
236.25,1.25,30.75,0.0325
238.75,1.25,37.6,0.0266
241.25,1.25,39.24,0.0255
243.75,1.25,28.82,0.0347
246.25,1.25,37.29,0.0268
248.75,1.25,33.71,0.0297
251.25,1.25,40.07,0.025
253.75,1.25,34.14,0.0293
256.25,1.25,40.99,0.0244
258.75,1.25,39.92,0.025
261.25,1.25,43.4,0.023
263.75,1.25,43.27,0.0231
266.25,1.25,47.8,0.0209
268.75,1.25,51.71,0.0193
271.25,1.25,49.6,0.0202
273.75,1.25,54.47,0.0184
276.25,1.25,56.27,0.0178
278.75,1.25,56.27,0.0178
281.25,1.25,50.92,0.0196
283.75,1.25,50.84,0.0197
286.25,1.25,50.18,0.0199
288.75,1.25,49.65,0.0201
291.25,1.25,39.3,0.0254
293.75,1.25,44.71,0.0224
296.25,1.25,40.27,0.0248
298.75,1.25,45.15,0.0222
301.25,1.25,42.19,0.0237
303.75,1.25,47.18,0.0212
306.25,1.25,38.57,0.0259
308.75,1.25,40.44,0.0247
311.25,1.25,39.37,0.0254
313.75,1.25,38.13,0.0262
316.25,1.25,34.94,0.0286
318.75,1.25,35.02,0.0286
321.25,1.25,33.5,0.0298
323.75,1.25,34.36,0.0291
326.25,1.25,30.69,0.0326
328.75,1.25,30.72,0.0325
331.25,1.25,31.66,0.0316
333.75,1.25,31.27,0.032
336.25,1.25,32.55,0.0307
338.75,1.25,31.81,0.0314
341.25,1.25,30.61,0.0327
343.75,1.25,30.5,0.0328
346.25,1.25,32.88,0.0304
348.75,1.25,34.69,0.0288
351.25,1.25,33.71,0.0297
353.75,1.25,30.36,0.0329
356.25,1.25,30.2,0.0331
358.75,1.25,29.18,0.0343
361.25,1.25,25.59,0.0391
363.75,1.25,23.32,0.0429
366.25,1.25,22.82,0.0438
368.75,1.25,22.72,0.044
371.25,1.25,22.61,0.0442
373.75,1.25,22.03,0.0454
376.25,1.25,22.99,0.0435
378.75,1.25,22.84,0.0438
381.25,1.25,22.4,0.0447
383.75,1.25,22.21,0.045
386.25,1.25,21.57,0.0464
388.75,1.25,21.52,0.0465
391.25,1.25,23.36,0.0428
393.75,1.25,21.47,0.0466
396.25,1.25,22.56,0.0443
398.75,1.25,31.13,0.0321
401.25,1.25,22.71,0.044
403.75,1.25,23.06,0.0434
406.25,1.25,23.89,0.0419
408.75,1.25,23.92,0.0418
411.25,1.25,24.07,0.0415
413.75,1.25,24.06,0.0416
416.25,1.25,23.47,0.0426
418.75,1.25,23.02,0.0434
421.25,1.25,23.15,0.0432
423.75,1.25,21.5,0.0465
426.25,1.25,21.09,0.0474
428.75,1.25,21.05,0.0475
431.25,1.25,20.67,0.0484
433.75,1.25,20.71,0.0483
436.25,1.25,20.74,0.0482
438.75,1.25,20.85,0.048
441.25,1.25,19.4,0.0515
443.75,1.25,20.09,0.0498
446.25,1.25,20.99,0.0476
448.75,1.25,21.68,0.0461
451.25,1.25,20.79,0.0481
453.75,1.25,17.84,0.056
456.25,1.25,19.27,0.0519
458.75,1.25,19.28,0.0519
461.25,1.25,19.32,0.0518
463.75,1.25,18.5,0.054
466.25,1.25,19.94,0.0502
468.75,1.25,20,0.05
471.25,1.25,25.38,0.0394
473.75,1.25,20.27,0.0493
476.25,1.25,19.87,0.0503
478.75,1.25,27.47,0.0364
481.25,1.25,22.2,0.045
483.75,1.25,22.12,0.0452
486.25,1.25,20.48,0.0488
488.75,1.25,22.07,0.0453
491.25,1.25,21.75,0.046
493.75,1.25,21.74,0.046
496.25,1.25,21.77,0.0459
498.75,1.25,21.43,0.0467
501.25,1.25,21.4,0.0467
503.75,1.25,20.15,0.0496
506.25,1.25,20.29,0.0493
508.75,1.25,19.97,0.0501
511.25,1.25,20.46,0.0489
513.75,1.25,19.14,0.0523
516.25,1.25,20.18,0.0496
518.75,1.25,20.27,0.0493
521.25,1.25,20.74,0.0482
523.75,1.25,20.58,0.0486
526.25,1.25,21.11,0.0474
528.75,1.25,22.66,0.0441
531.25,1.25,21.96,0.0455
533.75,1.25,22.2,0.045
536.25,1.25,21.26,0.047
538.75,1.25,21.43,0.0467
541.25,1.25,19.48,0.0513
543.75,1.25,24.69,0.0405
546.25,1.25,24.7,0.0405
548.75,1.25,26.47,0.0378
551.25,1.25,25.86,0.0387
553.75,1.25,25.83,0.0387
556.25,1.25,25.5,0.0392
558.75,1.25,25.49,0.0392
561.25,1.25,28.05,0.0357
563.75,1.25,20.36,0.0491
566.25,1.25,20.75,0.0482
568.75,1.25,21.43,0.0467
571.25,1.25,21.19,0.0472
573.75,1.25,19.09,0.0524
576.25,1.25,21.26,0.047
578.75,1.25,20.68,0.0483
581.25,1.25,21.24,0.0471
583.75,1.25,21.09,0.0474
586.25,1.25,20.98,0.0477
588.75,1.25,20.86,0.0479
591.25,1.25,20.08,0.0498
593.75,1.25,19.79,0.0505
596.25,1.25,19.83,0.0504
598.75,1.25,19.8,0.0505
601.25,1.25,19.2,0.0521
603.75,1.25,19.19,0.0521
606.25,1.25,19.55,0.0512
608.75,1.25,19.62,0.051
611.25,1.25,20.84,0.048
613.75,1.25,20.87,0.0479
616.25,1.25,20.4,0.049
618.75,1.25,20.42,0.049
621.25,1.25,19.91,0.0502
623.75,1.25,19.41,0.0515
626.25,1.25,20.23,0.0494
628.75,1.25,20.3,0.0493
631.25,1.25,19.71,0.0507
633.75,1.25,19.94,0.0501
636.25,1.25,20.65,0.0484
638.75,1.25,20.41,0.049
641.25,1.25,20.24,0.0494
643.75,1.25,20.31,0.0492
646.25,1.25,19.02,0.0526
648.75,1.25,20.95,0.0477
651.25,1.25,23.05,0.0434
653.75,1.25,20.51,0.0488
656.25,1.25,18.32,0.0546
658.75,1.25,20.67,0.0484
661.25,1.25,20.33,0.0492
663.75,1.25,19.56,0.0511
666.25,1.25,21.7,0.0461
668.75,1.25,23.78,0.042
671.25,1.25,23.99,0.0417
673.75,1.25,25.54,0.0392
676.25,1.25,25.27,0.0396
678.75,1.25,24.26,0.0412
681.25,1.25,23.25,0.043
683.75,1.25,23.42,0.0427
686.25,1.25,24.45,0.0409
688.75,1.25,27.89,0.0359
691.25,1.25,25.91,0.0386
693.75,1.25,25.09,0.0399
696.25,1.25,25.85,0.0387
698.75,1.25,25.63,0.039
701.25,1.25,26.54,0.0377
703.75,1.25,28.37,0.0352
706.25,1.25,28.83,0.0347
708.75,1.25,28.94,0.0345
711.25,1.25,32.66,0.0306
713.75,1.25,38.61,0.0259
716.25,1.25,39.48,0.0253
718.75,1.25,58.89,0.017
721.25,1.25,54.64,0.0183
723.75,1.25,65.53,0.0153
726.25,1.25,58.6,0.0171
728.75,1.25,58.74,0.017
731.25,1.25,47.83,0.0209
733.75,1.25,47.69,0.021
736.25,1.25,45.25,0.0221
738.75,1.25,40.44,0.0247
741.25,1.25,40.43,0.0247
743.75,1.25,39.09,0.0256
746.25,1.25,39.4,0.0254
748.75,1.25,39.28,0.0255
751.25,1.25,41.8,0.0239
753.75,1.25,41.22,0.0243
756.25,1.25,40.75,0.0245
758.75,1.25,41.3,0.0242
761.25,1.25,38.52,0.026
763.75,1.25,37.44,0.0267
766.25,1.25,35.06,0.0285
768.75,1.25,34.96,0.0286
771.25,1.25,32.02,0.0312
773.75,1.25,30.68,0.0326
776.25,1.25,31.44,0.0318
778.75,1.25,31.43,0.0318
781.25,1.25,32.06,0.0312
783.75,1.25,28.93,0.0346
786.25,1.25,31.65,0.0316
788.75,1.25,32.02,0.0312
791.25,1.25,30.45,0.0328
793.75,1.25,29.91,0.0334
796.25,1.25,29.18,0.0343
798.75,1.25,29.18,0.0343
801.25,1.25,28.89,0.0346
803.75,1.25,29.61,0.0338
806.25,1.25,26.73,0.0374
808.75,1.25,28.11,0.0356
811.25,1.25,28.89,0.0346
813.75,1.25,28.8,0.0347
816.25,1.25,29.02,0.0345
818.75,1.25,29.06,0.0344
821.25,1.25,27.27,0.0367
823.75,1.25,30.05,0.0333
826.25,1.25,38.87,0.0257
828.75,1.25,32.09,0.0312
831.25,1.25,30.95,0.0323
833.75,1.25,30.71,0.0326
836.25,1.25,30.88,0.0324
838.75,1.25,30.94,0.0323
841.25,1.25,34.78,0.0287
843.75,1.25,34.8,0.0287
846.25,1.25,40.23,0.0249
848.75,1.25,40.17,0.0249
851.25,1.25,40.34,0.0248
853.75,1.25,40.52,0.0247
856.25,1.25,41.01,0.0244
858.75,1.25,42.72,0.0234
861.25,1.25,40.6,0.0246
863.75,1.25,40.65,0.0246
866.25,1.25,40.95,0.0244
868.75,1.25,40.88,0.0245
871.25,1.25,40.29,0.0248
873.75,1.25,39.49,0.0253
876.25,1.25,40.55,0.0247
878.75,1.25,40.34,0.0248
881.25,1.25,40.41,0.0247
883.75,1.25,39.49,0.0253
886.25,1.25,38.88,0.0257
888.75,1.25,36.13,0.0277
891.25,1.25,33.12,0.0302
893.75,1.25,33.14,0.0302
896.25,1.25,32.78,0.0305
898.75,1.25,32.83,0.0305
901.25,1.25,34.31,0.0291
903.75,1.25,34.59,0.0289
906.25,1.25,32.15,0.0311
908.75,1.25,32.19,0.0311
911.25,1.25,33.55,0.0298
913.75,1.25,33.59,0.0298
916.25,1.25,38.94,0.0257
918.75,1.25,38.98,0.0257
921.25,1.25,31.99,0.0313
923.75,1.25,34.19,0.0292
926.25,1.25,30.51,0.0328
928.75,1.25,30.07,0.0333
931.25,1.25,31.12,0.0321
933.75,1.25,31.43,0.0318
936.25,1.25,31.06,0.0322
938.75,1.25,29.71,0.0337
941.25,1.25,31.22,0.032
943.75,1.25,30.2,0.0331
946.25,1.25,29.98,0.0334
948.75,1.25,28.27,0.0354
951.25,1.25,31.93,0.0313
953.75,1.25,31.73,0.0315
956.25,1.25,30.66,0.0326
958.75,1.25,31.8,0.0314
961.25,1.25,31.85,0.0314
963.75,1.25,31.9,0.0313
966.25,1.25,31.59,0.0317
968.75,1.25,32.6,0.0307
971.25,1.25,31.7,0.0315
973.75,1.25,31.74,0.0315
976.25,1.25,28.12,0.0356
978.75,1.25,28.14,0.0355
981.25,1.25,27.22,0.0367
983.75,1.25,25.15,0.0398
986.25,1.25,24.66,0.0406
988.75,1.25,24.74,0.0404
991.25,1.25,24.56,0.0407
993.75,1.25,24.18,0.0414
996.25,1.25,23.83,0.042
998.75,1.25,24.05,0.0416
1001.25,1.25,26.53,0.0377
1003.75,1.25,24.47,0.0409
1006.25,1.25,24.58,0.0407
1008.75,1.25,34.14,0.0293
1011.25,1.25,29.39,0.034
1013.75,1.25,29.09,0.0344
1016.25,1.25,29.84,0.0335
1018.75,1.25,29.82,0.0335
