X,Depth,Resistivity,Conductivity
6.25,1.25,19.99,0.05
8.75,1.25,19.92,0.0502
11.25,1.25,19.94,0.0501
13.75,1.25,19.97,0.0501
16.25,1.25,18.91,0.0529
18.75,1.25,18.95,0.0528
21.25,1.25,22.36,0.0447
23.75,1.25,23.1,0.0433
26.25,1.25,23.14,0.0432
28.75,1.25,21.91,0.0456
31.25,1.25,24.9,0.0402
33.75,1.25,24.91,0.0401
36.25,1.25,24.94,0.0401
38.75,1.25,24.42,0.041
41.25,1.25,25.84,0.0387
43.75,1.25,26.43,0.0378
46.25,1.25,25.55,0.0391
48.75,1.25,25.74,0.0388
51.25,1.25,24.85,0.0402
53.75,1.25,26.57,0.0376
56.25,1.25,30.02,0.0333
58.75,1.25,29.54,0.0339
61.25,1.25,29.49,0.0339
63.75,1.25,29.8,0.0336
66.25,1.25,28.5,0.0351
68.75,1.25,26.67,0.0375
71.25,1.25,25.56,0.0391
73.75,1.25,25.11,0.0398
76.25,1.25,23.9,0.0418
78.75,1.25,23.01,0.0435
81.25,1.25,23,0.0435
83.75,1.25,23.9,0.0418
86.25,1.25,24.62,0.0406
88.75,1.25,24.54,0.0407
91.25,1.25,24.21,0.0413
93.75,1.25,24.54,0.0407
96.25,1.25,26.73,0.0374
98.75,1.25,25.64,0.039
101.25,1.25,23.46,0.0426
103.75,1.25,23.51,0.0425
106.25,1.25,24.12,0.0415
108.75,1.25,23.49,0.0426
111.25,1.25,22.8,0.0439
113.75,1.25,22.77,0.0439
116.25,1.25,23.22,0.0431
118.75,1.25,21.6,0.0463
121.25,1.25,23.78,0.0421
123.75,1.25,23.74,0.0421
126.25,1.25,24.94,0.0401
128.75,1.25,24.49,0.0408
131.25,1.25,23.38,0.0428
133.75,1.25,23.56,0.0424
136.25,1.25,22.39,0.0447
138.75,1.25,22.72,0.044
141.25,1.25,23.26,0.043
143.75,1.25,22.88,0.0437
146.25,1.25,22.61,0.0442
148.75,1.25,25.06,0.0399
151.25,1.25,24.78,0.0404
153.75,1.25,26.19,0.0382
156.25,1.25,26.27,0.0381
158.75,1.25,26.35,0.0379
161.25,1.25,25.25,0.0396
163.75,1.25,27.58,0.0363
166.25,1.25,27.5,0.0364
168.75,1.25,26.06,0.0384
171.25,1.25,30.66,0.0326
173.75,1.25,29.22,0.0342
176.25,1.25,28.67,0.0349
178.75,1.25,28.53,0.035
181.25,1.25,30.28,0.033
183.75,1.25,29.88,0.0335
186.25,1.25,30.39,0.0329
188.75,1.25,30.82,0.0324
191.25,1.25,30.8,0.0325
193.75,1.25,33.28,0.03
196.25,1.25,32.94,0.0304
198.75,1.25,33.16,0.0302
201.25,1.25,28.55,0.035
203.75,1.25,28.57,0.035
206.25,1.25,26.73,0.0374
208.75,1.25,27.54,0.0363
211.25,1.25,27.21,0.0368
213.75,1.25,28.11,0.0356
216.25,1.25,29.03,0.0344
218.75,1.25,28.02,0.0357
221.25,1.25,23.38,0.0428
223.75,1.25,27.1,0.0369
226.25,1.25,33.17,0.0302
228.75,1.25,28.26,0.0354
231.25,1.25,26.72,0.0374
233.75,1.25,31.41,0.0318
236.25,1.25,28.48,0.0351
238.75,1.25,26.27,0.0381
241.25,1.25,24.3,0.0412
243.75,1.25,24.28,0.0412
246.25,1.25,25.39,0.0394
248.75,1.25,25.45,0.0393
251.25,1.25,28.1,0.0356
253.75,1.25,27.88,0.0359
256.25,1.25,29.09,0.0344
258.75,1.25,25.88,0.0386
261.25,1.25,27.14,0.0369
263.75,1.25,25.58,0.0391
266.25,1.25,22.14,0.0452
268.75,1.25,24.09,0.0415
271.25,1.25,24.07,0.0416
273.75,1.25,24.11,0.0415
276.25,1.25,23.14,0.0432
278.75,1.25,23.46,0.0426
281.25,1.25,22.49,0.0445
283.75,1.25,22.99,0.0435
286.25,1.25,20.78,0.0481
288.75,1.25,20.79,0.0481
291.25,1.25,21.37,0.0468
293.75,1.25,21.05,0.0475
296.25,1.25,20.22,0.0495
298.75,1.25,19.93,0.0502
301.25,1.25,22.31,0.0448
303.75,1.25,20.87,0.0479
306.25,1.25,20.26,0.0494
308.75,1.25,20.27,0.0493
311.25,1.25,20.39,0.049
313.75,1.25,20.36,0.0491
316.25,1.25,21.17,0.0472
318.75,1.25,20.58,0.0486
