X,Depth,Resistivity,Conductivity
6.25,1.25,29.23,0.0342
8.75,1.25,30.78,0.0325
11.25,1.25,28.41,0.0352
13.75,1.25,29.13,0.0343
16.25,1.25,28.73,0.0348
18.75,1.25,31.63,0.0316
21.25,1.25,37.49,0.0267
23.75,1.25,41.58,0.024
26.25,1.25,42.18,0.0237
28.75,1.25,45.32,0.0221
31.25,1.25,45.01,0.0222
33.75,1.25,44.77,0.0223
36.25,1.25,42.37,0.0236
38.75,1.25,42.36,0.0236
41.25,1.25,44.31,0.0226
43.75,1.25,43.67,0.0229
46.25,1.25,42.08,0.0238
48.75,1.25,36.75,0.0272
51.25,1.25,37.02,0.027
53.75,1.25,25.06,0.0399
56.25,1.25,28.84,0.0347
58.75,1.25,16.22,0.0617
61.25,1.25,21.08,0.0474
63.75,1.25,20.94,0.0478
66.25,1.25,28.2,0.0355
68.75,1.25,25.54,0.0392
71.25,1.25,31.91,0.0313
73.75,1.25,31.51,0.0317
76.25,1.25,35.06,0.0285
78.75,1.25,35.32,0.0283
81.25,1.25,34.82,0.0287
83.75,1.25,39.68,0.0252
86.25,1.25,35.56,0.0281
88.75,1.25,47.56,0.021
91.25,1.25,34.4,0.0291
93.75,1.25,49.36,0.0203
96.25,1.25,44.97,0.0222
98.75,1.25,57.43,0.0174
101.25,1.25,41.47,0.0241
103.75,1.25,43.15,0.0232
106.25,1.25,32.67,0.0306
108.75,1.25,32.49,0.0308
111.25,1.25,40.75,0.0245
113.75,1.25,45.53,0.022
116.25,1.25,45.48,0.022
118.75,1.25,46.63,0.0214
121.25,1.25,53.76,0.0186
123.75,1.25,47.92,0.0209
126.25,1.25,54.17,0.0185
128.75,1.25,52.42,0.0191
131.25,1.25,42.42,0.0236
133.75,1.25,52.69,0.019
136.25,1.25,48.41,0.0207
138.75,1.25,46.49,0.0215
141.25,1.25,51.47,0.0194
143.75,1.25,50.05,0.02
146.25,1.25,44.22,0.0226
148.75,1.25,43.93,0.0228
151.25,1.25,44.2,0.0226
153.75,1.25,51.91,0.0193
156.25,1.25,53.3,0.0188
158.75,1.25,48.33,0.0207
161.25,1.25,46.36,0.0216
163.75,1.25,38.52,0.026
166.25,1.25,42.53,0.0235
168.75,1.25,41.81,0.0239
171.25,1.25,34.51,0.029
173.75,1.25,32.51,0.0308
176.25,1.25,33.43,0.0299
178.75,1.25,31.97,0.0313
181.25,1.25,37.41,0.0267
183.75,1.25,33.63,0.0297
186.25,1.25,39.33,0.0254
188.75,1.25,36.96,0.0271
191.25,1.25,29.19,0.0343
193.75,1.25,32.48,0.0308
196.25,1.25,51.79,0.0193
198.75,1.25,50.33,0.0199
201.25,1.25,48.74,0.0205
203.75,1.25,49.41,0.0202
206.25,1.25,39.65,0.0252
208.75,1.25,47.37,0.0211
211.25,1.25,29.19,0.0343
213.75,1.25,35.53,0.0281
216.25,1.25,27.06,0.037
218.75,1.25,32.72,0.0306
221.25,1.25,22.37,0.0447
