X,Depth,Resistivity,Conductivity
6.25,1.25,25.78,0.0388
8.75,1.25,26.37,0.0379
11.25,1.25,26.44,0.0378
13.75,1.25,26.43,0.0378
16.25,1.25,27.5,0.0364
18.75,1.25,28.67,0.0349
21.25,1.25,29.07,0.0344
23.75,1.25,28.95,0.0345
26.25,1.25,28.54,0.035
28.75,1.25,28.56,0.035
31.25,1.25,28.22,0.0354
33.75,1.25,28.25,0.0354
36.25,1.25,26,0.0385
38.75,1.25,26.07,0.0384
41.25,1.25,25.49,0.0392
43.75,1.25,25.53,0.0392
46.25,1.25,24.12,0.0415
48.75,1.25,28.23,0.0354
51.25,1.25,26.3,0.038
53.75,1.25,29.38,0.034
56.25,1.25,26.91,0.0372
58.75,1.25,30.81,0.0325
61.25,1.25,29.57,0.0338
63.75,1.25,29.57,0.0338
66.25,1.25,29.51,0.0339
68.75,1.25,29.64,0.0337
71.25,1.25,33.42,0.0299
73.75,1.25,31.97,0.0313
76.25,1.25,32.31,0.031
78.75,1.25,32.23,0.031
81.25,1.25,32.06,0.0312
83.75,1.25,31.23,0.032
86.25,1.25,37.69,0.0265
88.75,1.25,25.51,0.0392
91.25,1.25,30.63,0.0327
93.75,1.25,37.11,0.0269
96.25,1.25,34.72,0.0288
98.75,1.25,31.22,0.032
101.25,1.25,30.98,0.0323
103.75,1.25,30.85,0.0324
106.25,1.25,31.39,0.0319
108.75,1.25,32.39,0.0309
111.25,1.25,34.69,0.0288
113.75,1.25,35.06,0.0285
116.25,1.25,32.65,0.0306
118.75,1.25,34.72,0.0288
121.25,1.25,34.73,0.0288
123.75,1.25,34.02,0.0294
126.25,1.25,37.98,0.0263
128.75,1.25,37.99,0.0263
131.25,1.25,34.19,0.0293
133.75,1.25,34.04,0.0294
136.25,1.25,34.73,0.0288
138.75,1.25,34.48,0.029
141.25,1.25,33.25,0.0301
143.75,1.25,32.6,0.0307
146.25,1.25,31.02,0.0322
148.75,1.25,33.83,0.0296
151.25,1.25,32.58,0.0307
153.75,1.25,34.36,0.0291
156.25,1.25,30.75,0.0325
158.75,1.25,32.36,0.0309
161.25,1.25,30.88,0.0324
163.75,1.25,29.22,0.0342
166.25,1.25,31.1,0.0322
168.75,1.25,26.77,0.0374
171.25,1.25,26.51,0.0377
173.75,1.25,26.34,0.038
176.25,1.25,28.76,0.0348
178.75,1.25,28.23,0.0354
181.25,1.25,29.14,0.0343
183.75,1.25,32.22,0.031
186.25,1.25,26.9,0.0372
188.75,1.25,27.67,0.0361
191.25,1.25,26.89,0.0372
193.75,1.25,26.88,0.0372
196.25,1.25,26.78,0.0373
198.75,1.25,26.72,0.0374
201.25,1.25,30.77,0.0325
203.75,1.25,29.13,0.0343
206.25,1.25,30.29,0.033
208.75,1.25,29.32,0.0341
211.25,1.25,30,0.0333
213.75,1.25,25.85,0.0387
216.25,1.25,26,0.0385
218.75,1.25,24.28,0.0412
221.25,1.25,24.47,0.0409
223.75,1.25,23.89,0.0419
226.25,1.25,22.65,0.0442
228.75,1.25,22.69,0.0441
231.25,1.25,21.03,0.0475
233.75,1.25,21.43,0.0467
236.25,1.25,20.8,0.0481
238.75,1.25,23.18,0.0431
241.25,1.25,22.59,0.0443
243.75,1.25,22.68,0.0441
246.25,1.25,22.23,0.045
248.75,1.25,22.48,0.0445
251.25,1.25,20.18,0.0495
253.75,1.25,21.43,0.0467
256.25,1.25,22.01,0.0454
258.75,1.25,22.02,0.0454
261.25,1.25,20.77,0.0481
263.75,1.25,20.07,0.0498
266.25,1.25,21.44,0.0466
268.75,1.25,21.52,0.0465
271.25,1.25,23.58,0.0424
273.75,1.25,22.6,0.0442
276.25,1.25,21,0.0476
278.75,1.25,20.69,0.0483
281.25,1.25,24.17,0.0414
283.75,1.25,23.18,0.0431
286.25,1.25,23.59,0.0424
288.75,1.25,23.38,0.0428
291.25,1.25,22.66,0.0441
293.75,1.25,22.67,0.0441
296.25,1.25,21.4,0.0467
298.75,1.25,19.16,0.0522
301.25,1.25,21.42,0.0467
303.75,1.25,20.75,0.0482
306.25,1.25,21.29,0.047
308.75,1.25,22.13,0.0452
311.25,1.25,24.37,0.041
313.75,1.25,26.83,0.0373
316.25,1.25,26.82,0.0373
318.75,1.25,29.01,0.0345
321.25,1.25,26.33,0.038
323.75,1.25,28.12,0.0356
326.25,1.25,23.48,0.0426
328.75,1.25,22.12,0.0452
331.25,1.25,16.72,0.0598
333.75,1.25,16.72,0.0598
336.25,1.25,19.67,0.0508
338.75,1.25,19.38,0.0516
341.25,1.25,18.31,0.0546
343.75,1.25,18.4,0.0544
346.25,1.25,21.59,0.0463
348.75,1.25,21.48,0.0466
351.25,1.25,21.03,0.0475
353.75,1.25,22.17,0.0451
356.25,1.25,26.19,0.0382
358.75,1.25,21.65,0.0462
361.25,1.25,26.59,0.0376
363.75,1.25,26.06,0.0384
366.25,1.25,22.78,0.0439
368.75,1.25,24.27,0.0412
371.25,1.25,23.84,0.042
373.75,1.25,20.77,0.0482
376.25,1.25,23.33,0.0429
378.75,1.25,24.12,0.0415
381.25,1.25,22.95,0.0436
383.75,1.25,24.6,0.0406
386.25,1.25,24.31,0.0411
388.75,1.25,24.29,0.0412
391.25,1.25,23.5,0.0426
393.75,1.25,25.63,0.039
396.25,1.25,24.42,0.041
398.75,1.25,26.19,0.0382
401.25,1.25,25.07,0.0399
403.75,1.25,25.95,0.0385
406.25,1.25,24.74,0.0404
408.75,1.25,24.75,0.0404
411.25,1.25,25.78,0.0388
413.75,1.25,26.46,0.0378
416.25,1.25,24.26,0.0412
418.75,1.25,24.28,0.0412
421.25,1.25,23.73,0.0421
423.75,1.25,22.63,0.0442
426.25,1.25,22.07,0.0453
428.75,1.25,22.08,0.0453
431.25,1.25,21.66,0.0462
433.75,1.25,21.65,0.0462
436.25,1.25,21.79,0.0459
438.75,1.25,20.74,0.0482
441.25,1.25,21,0.0476
443.75,1.25,20.9,0.0478
446.25,1.25,24.01,0.0416
448.75,1.25,22.48,0.0445
451.25,1.25,28.33,0.0353
453.75,1.25,24.98,0.04
456.25,1.25,24.86,0.0402
458.75,1.25,24.86,0.0402
461.25,1.25,22.75,0.044
463.75,1.25,22.25,0.0449
466.25,1.25,23.93,0.0418
468.75,1.25,23.96,0.0417
471.25,1.25,23.18,0.0431
473.75,1.25,23.87,0.0419
476.25,1.25,25.03,0.04
478.75,1.25,24.63,0.0406
481.25,1.25,23.71,0.0422
483.75,1.25,23.72,0.0422
486.25,1.25,23.75,0.0421
488.75,1.25,23.84,0.042
491.25,1.25,23.76,0.0421
493.75,1.25,24.22,0.0413
496.25,1.25,23.94,0.0418
498.75,1.25,23.09,0.0433
501.25,1.25,23.04,0.0434
503.75,1.25,23.01,0.0435
506.25,1.25,21.98,0.0455
508.75,1.25,22.15,0.0451
511.25,1.25,22.42,0.0446
513.75,1.25,22.12,0.0452
516.25,1.25,22.61,0.0442
518.75,1.25,24.64,0.0406
521.25,1.25,26.42,0.0379
523.75,1.25,26.46,0.0378
526.25,1.25,30.7,0.0326
528.75,1.25,30.04,0.0333
531.25,1.25,29.64,0.0337
533.75,1.25,28.44,0.0352
536.25,1.25,35.81,0.0279
538.75,1.25,27.07,0.0369
541.25,1.25,43.35,0.0231
543.75,1.25,26.07,0.0384
546.25,1.25,31.04,0.0322
548.75,1.25,33.56,0.0298
551.25,1.25,34.08,0.0293
553.75,1.25,32.76,0.0305
556.25,1.25,32.53,0.0307
558.75,1.25,32.52,0.0308
561.25,1.25,32.54,0.0307
563.75,1.25,35.32,0.0283
566.25,1.25,32.45,0.0308
568.75,1.25,32.47,0.0308
571.25,1.25,30.23,0.0331
573.75,1.25,30.51,0.0328
576.25,1.25,25.8,0.0388
578.75,1.25,26.03,0.0384
581.25,1.25,26.91,0.0372
583.75,1.25,27.12,0.0369
586.25,1.25,29.64,0.0337
588.75,1.25,29.82,0.0335
591.25,1.25,29.81,0.0335
593.75,1.25,29.08,0.0344
596.25,1.25,25.24,0.0396
598.75,1.25,25.23,0.0396
601.25,1.25,24.68,0.0405
603.75,1.25,18.06,0.0554
606.25,1.25,17.45,0.0573
608.75,1.25,23.49,0.0426
611.25,1.25,19.31,0.0518
613.75,1.25,19.78,0.0506
616.25,1.25,18.96,0.0527
618.75,1.25,20.09,0.0498
621.25,1.25,19.73,0.0507
623.75,1.25,19.66,0.0509
626.25,1.25,21.31,0.0469
628.75,1.25,21.15,0.0473
631.25,1.25,24.75,0.0404
633.75,1.25,25.75,0.0388
636.25,1.25,15.43,0.0648
638.75,1.25,18.79,0.0532
641.25,1.25,16.4,0.061
643.75,1.25,16.29,0.0614
646.25,1.25,17.16,0.0583
648.75,1.25,17.62,0.0568
651.25,1.25,20.64,0.0484
653.75,1.25,20.7,0.0483
656.25,1.25,23.68,0.0422
658.75,1.25,24.05,0.0416
661.25,1.25,28.13,0.0355
663.75,1.25,23.84,0.0419
666.25,1.25,32.61,0.0307
668.75,1.25,26.59,0.0376
671.25,1.25,33.49,0.0299
673.75,1.25,31.14,0.0321
676.25,1.25,37.3,0.0268
678.75,1.25,28.18,0.0355
681.25,1.25,26.75,0.0374
683.75,1.25,26.52,0.0377
686.25,1.25,20.96,0.0477
688.75,1.25,10.63,0.094
8.75,3.75,35.18,0.0284
11.25,3.75,33.63,0.0297
13.75,3.75,33.56,0.0298
16.25,3.75,33.65,0.0297
18.75,3.75,33.92,0.0295
21.25,3.75,36.88,0.0271
23.75,3.75,37.06,0.027
26.25,3.75,37.08,0.027
28.75,3.75,37.12,0.0269
31.25,3.75,37.12,0.0269
33.75,3.75,37.22,0.0269
36.25,3.75,38.02,0.0263
38.75,3.75,40.73,0.0246
41.25,3.75,40.91,0.0244
43.75,3.75,40.92,0.0244
46.25,3.75,40.88,0.0245
48.75,3.75,41.99,0.0238
51.25,3.75,42.65,0.0234
53.75,3.75,43.62,0.0229
56.25,3.75,43.9,0.0228
58.75,3.75,45.25,0.0221
61.25,3.75,45.33,0.0221
63.75,3.75,45.31,0.0221
66.25,3.75,45.23,0.0221
68.75,3.75,44.53,0.0225
71.25,3.75,38.13,0.0262
73.75,3.75,34.44,0.029
76.25,3.75,34.37,0.0291
78.75,3.75,39.77,0.0251
81.25,3.75,40.39,0.0248
83.75,3.75,40.41,0.0247
86.25,3.75,38.67,0.0259
88.75,3.75,27.13,0.0369
91.25,3.75,29.48,0.0339
93.75,3.75,39.53,0.0253
96.25,3.75,34.21,0.0292
98.75,3.75,31.88,0.0314
101.25,3.75,31.26,0.032
103.75,3.75,30.88,0.0324
106.25,3.75,31.33,0.0319
108.75,3.75,32.25,0.031
111.25,3.75,34.1,0.0293
113.75,3.75,35.48,0.0282
116.25,3.75,37.4,0.0267
118.75,3.75,41.13,0.0243
121.25,3.75,41.13,0.0243
123.75,3.75,40.54,0.0247
126.25,3.75,40.06,0.025
128.75,3.75,40.21,0.0249
131.25,3.75,41.23,0.0243
133.75,3.75,41.2,0.0243
136.25,3.75,41.08,0.0243
138.75,3.75,40.86,0.0245
141.25,3.75,38.31,0.0261
143.75,3.75,38.11,0.0262
146.25,3.75,38.13,0.0262
148.75,3.75,40.01,0.025
151.25,3.75,41.24,0.0242
153.75,3.75,41.55,0.0241
156.25,3.75,42.55,0.0235
158.75,3.75,43.81,0.0228
161.25,3.75,43.35,0.0231
163.75,3.75,34.89,0.0287
166.25,3.75,32.16,0.0311
168.75,3.75,32.09,0.0312
171.25,3.75,32.12,0.0311
173.75,3.75,33.43,0.0299
176.25,3.75,33.91,0.0295
178.75,3.75,26.89,0.0372
181.25,3.75,26.74,0.0374
183.75,3.75,32.13,0.0311
186.25,3.75,33.83,0.0296
188.75,3.75,35.02,0.0286
191.25,3.75,35.01,0.0286
193.75,3.75,34.37,0.0291
196.25,3.75,34.42,0.0291
198.75,3.75,34.8,0.0287
201.25,3.75,35.13,0.0285
203.75,3.75,35.06,0.0285
206.25,3.75,34.67,0.0288
208.75,3.75,33.42,0.0299
211.25,3.75,32.83,0.0305
213.75,3.75,32.43,0.0308
216.25,3.75,32.38,0.0309
218.75,3.75,32.27,0.031
221.25,3.75,32.14,0.0311
223.75,3.75,31.92,0.0313
226.25,3.75,31.89,0.0314
228.75,3.75,31.94,0.0313
231.25,3.75,31.99,0.0313
233.75,3.75,32.09,0.0312
236.25,3.75,32.11,0.0311
238.75,3.75,32.35,0.0309
241.25,3.75,32.42,0.0308
243.75,3.75,32.61,0.0307
246.25,3.75,33.32,0.03
248.75,3.75,35.14,0.0285
251.25,3.75,35.18,0.0284
253.75,3.75,35.2,0.0284
256.25,3.75,35.22,0.0284
258.75,3.75,35.18,0.0284
261.25,3.75,32.31,0.0309
263.75,3.75,30.57,0.0327
266.25,3.75,30.6,0.0327
268.75,3.75,30.98,0.0323
271.25,3.75,31,0.0323
273.75,3.75,30.76,0.0325
276.25,3.75,30.07,0.0333
278.75,3.75,29.93,0.0334
281.25,3.75,29.91,0.0334
283.75,3.75,29.75,0.0336
286.25,3.75,29.19,0.0343
288.75,3.75,29.09,0.0344
291.25,3.75,30.83,0.0324
293.75,3.75,31.8,0.0314
296.25,3.75,30.57,0.0327
298.75,3.75,30.59,0.0327
301.25,3.75,30.85,0.0324
303.75,3.75,30.86,0.0324
306.25,3.75,30.84,0.0324
308.75,3.75,31.02,0.0322
311.25,3.75,31.71,0.0315
313.75,3.75,31.8,0.0314
316.25,3.75,31.89,0.0314
318.75,3.75,31.98,0.0313
321.25,3.75,31.99,0.0313
323.75,3.75,32.91,0.0304
326.25,3.75,33.74,0.0296
328.75,3.75,33.76,0.0296
331.25,3.75,33.3,0.03
333.75,3.75,33.3,0.03
336.25,3.75,33.37,0.03
338.75,3.75,33.01,0.0303
341.25,3.75,21.69,0.0461
343.75,3.75,21.66,0.0462
346.25,3.75,21.72,0.046
348.75,3.75,23.28,0.043
351.25,3.75,29.08,0.0344
353.75,3.75,30.26,0.033
356.25,3.75,30.85,0.0324
358.75,3.75,26.28,0.0381
361.25,3.75,26.59,0.0376
363.75,3.75,26.26,0.0381
366.25,3.75,25.09,0.0399
368.75,3.75,29.44,0.034
371.25,3.75,29.05,0.0344
373.75,3.75,23.53,0.0425
376.25,3.75,23.67,0.0423
378.75,3.75,24.33,0.0411
381.25,3.75,25,0.04
383.75,3.75,26.16,0.0382
386.25,3.75,29.5,0.0339
388.75,3.75,30.72,0.0325
391.25,3.75,30.89,0.0324
393.75,3.75,31.59,0.0317
396.25,3.75,31.72,0.0315
398.75,3.75,34.07,0.0294
401.25,3.75,34.91,0.0286
403.75,3.75,37.29,0.0268
406.25,3.75,37.51,0.0267
408.75,3.75,37.55,0.0266
411.25,3.75,37.58,0.0266
413.75,3.75,37.89,0.0264
416.25,3.75,38.96,0.0257
418.75,3.75,39.56,0.0253
421.25,3.75,39.55,0.0253
423.75,3.75,39.28,0.0255
426.25,3.75,39.29,0.0255
428.75,3.75,39.36,0.0254
431.25,3.75,38.53,0.026
433.75,3.75,34.6,0.0289
436.25,3.75,32.97,0.0303
438.75,3.75,32.01,0.0312
441.25,3.75,31.81,0.0314
443.75,3.75,31.73,0.0315
446.25,3.75,31.56,0.0317
448.75,3.75,29.84,0.0335
451.25,3.75,29.81,0.0335
453.75,3.75,25.54,0.0392
456.25,3.75,24.88,0.0402
458.75,3.75,31.17,0.0321
461.25,3.75,31.01,0.0322
463.75,3.75,26.41,0.0379
466.25,3.75,26.38,0.0379
468.75,3.75,26.45,0.0378
471.25,3.75,26.91,0.0372
473.75,3.75,28.89,0.0346
476.25,3.75,30.57,0.0327
478.75,3.75,30.54,0.0327
481.25,3.75,30.59,0.0327
483.75,3.75,30.78,0.0325
486.25,3.75,30.96,0.0323
488.75,3.75,32.57,0.0307
491.25,3.75,34.97,0.0286
493.75,3.75,35.9,0.0279
496.25,3.75,35.92,0.0278
498.75,3.75,35.93,0.0278
501.25,3.75,36.01,0.0278
503.75,3.75,36.29,0.0276
506.25,3.75,36.71,0.0272
508.75,3.75,36.86,0.0271
511.25,3.75,36.72,0.0272
513.75,3.75,34.63,0.0289
516.25,3.75,34.56,0.0289
518.75,3.75,34.44,0.029
521.25,3.75,32.72,0.0306
523.75,3.75,31.31,0.0319
526.25,3.75,31.3,0.0319
528.75,3.75,31.14,0.0321
531.25,3.75,31.03,0.0322
533.75,3.75,31.91,0.0313
536.25,3.75,32.12,0.0311
538.75,3.75,31.51,0.0317
541.25,3.75,31.49,0.0318
543.75,3.75,28.33,0.0353
546.25,3.75,31.33,0.0319
548.75,3.75,38.15,0.0262
551.25,3.75,34.15,0.0293
553.75,3.75,27.65,0.0362
556.25,3.75,29.64,0.0337
558.75,3.75,31.14,0.0321
561.25,3.75,31.34,0.0319
563.75,3.75,31.5,0.0318
566.25,3.75,31.51,0.0317
568.75,3.75,31.51,0.0317
571.25,3.75,31.47,0.0318
573.75,3.75,32.21,0.031
576.25,3.75,35.82,0.0279
578.75,3.75,35.92,0.0278
581.25,3.75,35.2,0.0284
583.75,3.75,30.79,0.0325
586.25,3.75,30.57,0.0327
588.75,3.75,30.53,0.0328
591.25,3.75,30.38,0.0329
593.75,3.75,30.19,0.0331
596.25,3.75,30.42,0.0329
598.75,3.75,31.84,0.0314
601.25,3.75,34.56,0.0289
603.75,3.75,28.75,0.0348
606.25,3.75,28.57,0.035
608.75,3.75,31.2,0.032
611.25,3.75,30.72,0.0325
613.75,3.75,23.66,0.0423
616.25,3.75,23.38,0.0428
618.75,3.75,23.42,0.0427
621.25,3.75,23.47,0.0426
623.75,3.75,23.56,0.0424
626.25,3.75,23.55,0.0425
628.75,3.75,23.46,0.0426
631.25,3.75,25.15,0.0398
633.75,3.75,28.23,0.0354
636.25,3.75,33.25,0.0301
638.75,3.75,49.65,0.0201
641.25,3.75,48.87,0.0205
643.75,3.75,47.43,0.0211
646.25,3.75,41.13,0.0243
648.75,3.75,39.72,0.0252
651.25,3.75,35.68,0.028
653.75,3.75,34.65,0.0289
656.25,3.75,34.6,0.0289
658.75,3.75,34.69,0.0288
661.25,3.75,34.82,0.0287
663.75,3.75,34.86,0.0287
666.25,3.75,35.05,0.0285
668.75,3.75,34.01,0.0294
671.25,3.75,33.47,0.0299
673.75,3.75,31.12,0.0321
676.25,3.75,31.32,0.0319
678.75,3.75,27.69,0.0361
681.25,3.75,27.34,0.0366
683.75,3.75,35.13,0.0285
686.25,3.75,122.94,0.008134
