X,Depth,Resistivity,Conductivity
12.5,1.25,100.13,0.009987
17.5,1.25,63.85,0.0157
22.5,1.25,57.9,0.0173
27.5,1.25,61.81,0.0162
32.5,1.25,44.99,0.0222
37.5,1.25,35.84,0.0279
42.5,1.25,26.5,0.0377
47.5,1.25,32.15,0.0311
52.5,1.25,32.02,0.0312
57.5,1.25,29.05,0.0344
62.5,1.25,36.33,0.0275
67.5,1.25,35.61,0.0281
72.5,1.25,33.76,0.0296
77.5,1.25,31.95,0.0313
82.5,1.25,34.66,0.0289
87.5,1.25,21.54,0.0464
92.5,1.25,43.26,0.0231
97.5,1.25,42.12,0.0237
102.5,1.25,59.15,0.0169
107.5,1.25,53.6,0.0187
112.5,1.25,61.72,0.0162
117.5,1.25,61.77,0.0162
122.5,1.25,75.69,0.0132
127.5,1.25,81.4,0.0123
132.5,1.25,60.52,0.0165
137.5,1.25,74.91,0.0133
142.5,1.25,51.23,0.0195
147.5,1.25,79.7,0.0125
152.5,1.25,72.43,0.0138
157.5,1.25,146.98,0.006804
162.5,1.25,149.68,0.006681
167.5,1.25,136.39,0.007332
172.5,1.25,170.63,0.005861
177.5,1.25,131.9,0.007582
182.5,1.25,119.29,0.008383
187.5,1.25,92.84,0.0108
192.5,1.25,82.6,0.0121
197.5,1.25,63.56,0.0157
202.5,1.25,49.6,0.0202
207.5,1.25,54.69,0.0183
212.5,1.25,48.59,0.0206
217.5,1.25,51.35,0.0195
222.5,1.25,58.46,0.0171
227.5,1.25,74.91,0.0133
232.5,1.25,58.32,0.0171
237.5,1.25,47.06,0.0212
242.5,1.25,66.17,0.0151
247.5,1.25,68.3,0.0146
252.5,1.25,51.41,0.0195
257.5,1.25,71.97,0.0139
262.5,1.25,81.51,0.0123
267.5,1.25,75.38,0.0133
272.5,1.25,60.42,0.0166
277.5,1.25,47.17,0.0212
282.5,1.25,42.05,0.0238
287.5,1.25,41.45,0.0241
292.5,1.25,42.93,0.0233
297.5,1.25,42.69,0.0234
302.5,1.25,42.07,0.0238
307.5,1.25,41.92,0.0239
312.5,1.25,37.41,0.0267
317.5,1.25,37.17,0.0269
322.5,1.25,31.92,0.0313
327.5,1.25,31.88,0.0314
332.5,1.25,30.78,0.0325
337.5,1.25,32.49,0.0308
342.5,1.25,32.5,0.0308
347.5,1.25,45.8,0.0218
352.5,1.25,41.37,0.0242
357.5,1.25,42.43,0.0236
362.5,1.25,41.36,0.0242
367.5,1.25,30.62,0.0327
372.5,1.25,30.08,0.0332
377.5,1.25,32.24,0.031
382.5,1.25,30.29,0.033
387.5,1.25,30.44,0.0329
392.5,1.25,28.02,0.0357
397.5,1.25,26.63,0.0376
402.5,1.25,25.62,0.039
407.5,1.25,26.72,0.0374
412.5,1.25,30.94,0.0323
417.5,1.25,34.14,0.0293
422.5,1.25,34.04,0.0294
427.5,1.25,36.12,0.0277
432.5,1.25,38.21,0.0262
437.5,1.25,41.99,0.0238
442.5,1.25,38.75,0.0258
447.5,1.25,47.98,0.0208
452.5,1.25,43.98,0.0227
457.5,1.25,53.59,0.0187
462.5,1.25,45.33,0.0221
467.5,1.25,62.1,0.0161
472.5,1.25,49.11,0.0204
477.5,1.25,49.28,0.0203
482.5,1.25,50.85,0.0197
487.5,1.25,57.93,0.0173
492.5,1.25,52.37,0.0191
497.5,1.25,55.19,0.0181
502.5,1.25,56.31,0.0178
507.5,1.25,55.13,0.0181
512.5,1.25,55,0.0182
517.5,1.25,54.08,0.0185
522.5,1.25,51.01,0.0196
527.5,1.25,55.36,0.0181
532.5,1.25,57.28,0.0175
537.5,1.25,57.61,0.0174
542.5,1.25,52.12,0.0192
547.5,1.25,58.73,0.017
552.5,1.25,58.64,0.0171
557.5,1.25,59.74,0.0167
562.5,1.25,53.29,0.0188
567.5,1.25,62.93,0.0159
572.5,1.25,52.2,0.0192
577.5,1.25,46.05,0.0217
582.5,1.25,42.19,0.0237
12.5,3.75,94.45,0.0106
17.5,3.75,63.73,0.0157
22.5,3.75,62.22,0.0161
27.5,3.75,62.24,0.0161
32.5,3.75,51.62,0.0194
37.5,3.75,36.19,0.0276
42.5,3.75,35.48,0.0282
47.5,3.75,38.4,0.026
52.5,3.75,38.4,0.026
57.5,3.75,36.53,0.0274
62.5,3.75,36.45,0.0274
67.5,3.75,36.25,0.0276
72.5,3.75,35.86,0.0279
77.5,3.75,35.26,0.0284
82.5,3.75,35.25,0.0284
87.5,3.75,34.32,0.0291
92.5,3.75,40.6,0.0246
97.5,3.75,40.57,0.0246
102.5,3.75,55.95,0.0179
107.5,3.75,79.7,0.0125
112.5,3.75,90.31,0.0111
117.5,3.75,62.45,0.016
122.5,3.75,75.76,0.0132
127.5,3.75,203.92,0.004904
132.5,3.75,68.64,0.0146
137.5,3.75,67.35,0.0148
142.5,3.75,65.2,0.0153
147.5,3.75,76.85,0.013
152.5,3.75,76.95,0.013
157.5,3.75,46.95,0.0213
162.5,3.75,112.8,0.008865
167.5,3.75,193.71,0.005162
172.5,3.75,196.48,0.00509
177.5,3.75,279.52,0.003578
182.5,3.75,101.71,0.009832
187.5,3.75,43.64,0.0229
192.5,3.75,87.62,0.0114
197.5,3.75,41.51,0.0241
202.5,3.75,67.89,0.0147
207.5,3.75,97.58,0.0102
212.5,3.75,77.92,0.0128
217.5,3.75,60.83,0.0164
222.5,3.75,85.86,0.0116
227.5,3.75,98.77,0.0101
232.5,3.75,83.29,0.012
237.5,3.75,63.02,0.0159
242.5,3.75,95.97,0.0104
247.5,3.75,137.42,0.007277
252.5,3.75,74.37,0.0134
257.5,3.75,67.54,0.0148
262.5,3.75,67.53,0.0148
267.5,3.75,68.42,0.0146
272.5,3.75,63,0.0159
277.5,3.75,61.76,0.0162
282.5,3.75,61.02,0.0164
287.5,3.75,61,0.0164
292.5,3.75,61.04,0.0164
297.5,3.75,45.21,0.0221
302.5,3.75,45.77,0.0218
307.5,3.75,50.58,0.0198
312.5,3.75,46.73,0.0214
317.5,3.75,36.97,0.027
322.5,3.75,49.63,0.0201
327.5,3.75,65.44,0.0153
332.5,3.75,49.75,0.0201
337.5,3.75,48.42,0.0207
342.5,3.75,46.22,0.0216
347.5,3.75,46.48,0.0215
352.5,3.75,46.03,0.0217
357.5,3.75,38.46,0.026
362.5,3.75,51.34,0.0195
367.5,3.75,51.66,0.0194
372.5,3.75,51.54,0.0194
377.5,3.75,52.55,0.019
382.5,3.75,41.46,0.0241
387.5,3.75,40.44,0.0247
392.5,3.75,42.14,0.0237
397.5,3.75,45.17,0.0221
402.5,3.75,45.14,0.0222
407.5,3.75,46.25,0.0216
412.5,3.75,46.73,0.0214
417.5,3.75,38.05,0.0263
422.5,3.75,38.53,0.026
427.5,3.75,49.58,0.0202
432.5,3.75,48.78,0.0205
437.5,3.75,46.49,0.0215
442.5,3.75,48.34,0.0207
447.5,3.75,48.56,0.0206
452.5,3.75,51.67,0.0194
457.5,3.75,52.27,0.0191
462.5,3.75,52.24,0.0191
467.5,3.75,62.12,0.0161
472.5,3.75,61.58,0.0162
477.5,3.75,66.47,0.015
482.5,3.75,66.5,0.015
487.5,3.75,62.03,0.0161
492.5,3.75,60.24,0.0166
497.5,3.75,59.35,0.0168
502.5,3.75,59.33,0.0169
507.5,3.75,58.69,0.017
512.5,3.75,54.77,0.0183
517.5,3.75,53.33,0.0188
522.5,3.75,53.18,0.0188
527.5,3.75,55.58,0.018
532.5,3.75,57.17,0.0175
537.5,3.75,57.32,0.0174
542.5,3.75,57.03,0.0175
547.5,3.75,59.09,0.0169
552.5,3.75,59.25,0.0169
557.5,3.75,60.08,0.0166
562.5,3.75,60.16,0.0166
567.5,3.75,63.64,0.0157
572.5,3.75,59.43,0.0168
577.5,3.75,55.33,0.0181
582.5,3.75,54.94,0.0182
17.5,6.25,74.54,0.0134
22.5,6.25,71.47,0.014
27.5,6.25,71.36,0.014
32.5,6.25,66.29,0.0151
37.5,6.25,52.37,0.0191
42.5,6.25,50.63,0.0198
47.5,6.25,50.39,0.0198
52.5,6.25,50.21,0.0199
57.5,6.25,43.28,0.0231
62.5,6.25,38.27,0.0261
67.5,6.25,38.25,0.0261
72.5,6.25,38.8,0.0258
77.5,6.25,38.84,0.0257
82.5,6.25,39.1,0.0256
87.5,6.25,39.34,0.0254
92.5,6.25,40.9,0.0244
97.5,6.25,41.21,0.0243
102.5,6.25,55.87,0.0179
107.5,6.25,79.58,0.0126
112.5,6.25,89.78,0.0111
117.5,6.25,78.22,0.0128
122.5,6.25,77.52,0.0129
127.5,6.25,80.5,0.0124
132.5,6.25,83.47,0.012
137.5,6.25,96.3,0.0104
142.5,6.25,106.84,0.00936
147.5,6.25,107.12,0.009335
152.5,6.25,107.34,0.009316
157.5,6.25,95.91,0.0104
162.5,6.25,95.8,0.0104
167.5,6.25,94.29,0.0106
172.5,6.25,94.13,0.0106
177.5,6.25,97.09,0.0103
182.5,6.25,99.77,0.01
187.5,6.25,100.07,0.009993
192.5,6.25,110.83,0.009023
197.5,6.25,89.88,0.0111
202.5,6.25,91.58,0.0109
207.5,6.25,104.03,0.009613
212.5,6.25,102.81,0.009727
217.5,6.25,97.15,0.0103
222.5,6.25,97.12,0.0103
227.5,6.25,98.06,0.0102
232.5,6.25,95.69,0.0105
237.5,6.25,95.67,0.0105
242.5,6.25,96.46,0.0104
247.5,6.25,98.45,0.0102
252.5,6.25,86.09,0.0116
257.5,6.25,80.99,0.0123
262.5,6.25,80.95,0.0124
267.5,6.25,88.11,0.0113
272.5,6.25,91.53,0.0109
277.5,6.25,93.3,0.0107
282.5,6.25,93.77,0.0107
287.5,6.25,95.65,0.0105
292.5,6.25,95.64,0.0105
297.5,6.25,85.11,0.0117
302.5,6.25,84.9,0.0118
307.5,6.25,84.68,0.0118
312.5,6.25,79.99,0.0125
317.5,6.25,74.8,0.0134
322.5,6.25,74.87,0.0134
327.5,6.25,75.73,0.0132
332.5,6.25,75.88,0.0132
337.5,6.25,75.95,0.0132
342.5,6.25,75.93,0.0132
347.5,6.25,75.98,0.0132
352.5,6.25,75.93,0.0132
357.5,6.25,72.15,0.0139
362.5,6.25,72.03,0.0139
367.5,6.25,71.95,0.0139
372.5,6.25,71.99,0.0139
