X,Depth,Resistivity,Conductivity
6.25,1.25,38.76,0.0258
8.75,1.25,23.26,0.043
11.25,1.25,24.52,0.0408
13.75,1.25,28.33,0.0353
16.25,1.25,19,0.0526
18.75,1.25,28.05,0.0357
21.25,1.25,30.95,0.0323
23.75,1.25,31.1,0.0322
26.25,1.25,27.41,0.0365
28.75,1.25,25.41,0.0394
31.25,1.25,23.92,0.0418
33.75,1.25,22.07,0.0453
36.25,1.25,18.31,0.0546
38.75,1.25,18.56,0.0539
41.25,1.25,22.27,0.0449
43.75,1.25,16.72,0.0598
46.25,1.25,16.92,0.0591
48.75,1.25,20.76,0.0482
51.25,1.25,16.37,0.0611
53.75,1.25,15.86,0.063
56.25,1.25,15.99,0.0625
58.75,1.25,15.49,0.0645
61.25,1.25,18.4,0.0544
63.75,1.25,18.26,0.0548
66.25,1.25,16.44,0.0608
68.75,1.25,16.86,0.0593
71.25,1.25,17.52,0.0571
73.75,1.25,22.17,0.0451
76.25,1.25,16.79,0.0596
78.75,1.25,18.83,0.0531
81.25,1.25,19.87,0.0503
83.75,1.25,18.05,0.0554
86.25,1.25,19.76,0.0506
88.75,1.25,20.35,0.0491
91.25,1.25,23.27,0.043
93.75,1.25,23.32,0.0429
96.25,1.25,26.36,0.0379
98.75,1.25,23.09,0.0433
101.25,1.25,28.59,0.035
103.75,1.25,22.58,0.0443
106.25,1.25,30.32,0.033
108.75,1.25,29.73,0.0336
111.25,1.25,32.84,0.0305
113.75,1.25,23.78,0.042
116.25,1.25,24.21,0.0413
118.75,1.25,39.55,0.0253
121.25,1.25,23.45,0.0426
123.75,1.25,24.82,0.0403
126.25,1.25,21.4,0.0467
128.75,1.25,17.31,0.0578
131.25,1.25,14.3,0.0699
133.75,1.25,17.26,0.0579
136.25,1.25,16.8,0.0595
138.75,1.25,21.2,0.0472
141.25,1.25,16.5,0.0606
143.75,1.25,18.81,0.0532
146.25,1.25,18.98,0.0527
148.75,1.25,18.9,0.0529
151.25,1.25,22.89,0.0437
153.75,1.25,16.93,0.0591
156.25,1.25,22.35,0.0447
158.75,1.25,25.12,0.0398
161.25,1.25,33.28,0.03
163.75,1.25,12.42,0.0805
166.25,1.25,33.83,0.0296
168.75,1.25,29.31,0.0341
171.25,1.25,24.17,0.0414
173.75,1.25,24.75,0.0404
176.25,1.25,29.01,0.0345
178.75,1.25,29.69,0.0337
181.25,1.25,20.87,0.0479
183.75,1.25,23.07,0.0433
186.25,1.25,21.79,0.0459
188.75,1.25,35.9,0.0279
191.25,1.25,18.02,0.0555
193.75,1.25,19.94,0.0501
196.25,1.25,18.63,0.0537
198.75,1.25,23.47,0.0426
201.25,1.25,24.21,0.0413
203.75,1.25,14.46,0.0692
206.25,1.25,12.27,0.0815
208.75,1.25,20.75,0.0482
211.25,1.25,22,0.0455
213.75,1.25,8.39,0.1192
216.25,1.25,19.91,0.0502
218.75,1.25,16.61,0.0602
221.25,1.25,15.83,0.0632
223.75,1.25,22.56,0.0443
226.25,1.25,25.61,0.0391
228.75,1.25,13.98,0.0715
231.25,1.25,35.44,0.0282
233.75,1.25,33.91,0.0295
236.25,1.25,33.55,0.0298
238.75,1.25,12.9,0.0775
241.25,1.25,30.12,0.0332
243.75,1.25,30.76,0.0325
246.25,1.25,23.82,0.042
248.75,1.25,22.3,0.0448
251.25,1.25,20.3,0.0493
253.75,1.25,50.76,0.0197
256.25,1.25,38.9,0.0257
258.75,1.25,29.21,0.0342
261.25,1.25,26.65,0.0375
263.75,1.25,14.95,0.0669
266.25,1.25,14.5,0.069
268.75,1.25,14.63,0.0684
271.25,1.25,15.4,0.0649
273.75,1.25,29.07,0.0344
276.25,1.25,33.93,0.0295
278.75,1.25,33.9,0.0295
281.25,1.25,41.39,0.0242
283.75,1.25,43.94,0.0228
286.25,1.25,51.17,0.0195
288.75,1.25,29.6,0.0338
291.25,1.25,36.37,0.0275
293.75,1.25,59.63,0.0168
296.25,1.25,52.93,0.0189
298.75,1.25,40.49,0.0247
301.25,1.25,54.58,0.0183
303.75,1.25,35.84,0.0279
306.25,1.25,29.42,0.034
308.75,1.25,29.47,0.0339
311.25,1.25,29.45,0.034
313.75,1.25,41.97,0.0238
316.25,1.25,39.28,0.0255
318.75,1.25,26.57,0.0376
321.25,1.25,26.69,0.0375
323.75,1.25,37.8,0.0265
326.25,1.25,24.6,0.0407
328.75,1.25,31.68,0.0316
331.25,1.25,24.29,0.0412
