X,Elevation,Resistivity,Conductivity
12.5,224.51,41.62,0.024
17.5,224.45,42,0.0238
22.5,224.39,40.37,0.0248
27.5,224.33,40.19,0.0249
32.5,224.27,40.09,0.0249
37.5,224.22,39.9,0.0251
42.5,224.16,39.4,0.0254
47.5,224.1,39.36,0.0254
52.5,224.04,37.48,0.0267
57.5,223.99,36.31,0.0275
62.5,223.93,32.68,0.0306
67.5,223.87,32.6,0.0307
72.5,223.81,32.65,0.0306
77.5,223.76,32.69,0.0306
82.5,223.7,33.23,0.0301
87.5,223.64,33.28,0.03
92.5,223.58,41.87,0.0239
97.5,223.52,35.69,0.028
102.5,223.47,44.8,0.0223
107.5,223.41,34.43,0.029
112.5,223.35,31.17,0.0321
117.5,223.28,29.59,0.0338
122.5,223.22,33.93,0.0295
127.5,223.16,38.73,0.0258
132.5,223.1,37.36,0.0268
137.5,223.04,35.54,0.0281
142.5,222.98,34.47,0.029
147.5,222.92,33.63,0.0297
152.5,222.86,32.65,0.0306
157.5,222.79,35.71,0.028
162.5,222.73,34.66,0.0289
167.5,222.67,36.43,0.0274
172.5,222.61,36.43,0.0274
177.5,222.55,29.97,0.0334
182.5,222.49,29.5,0.0339
187.5,222.43,29.65,0.0337
192.5,222.37,29.39,0.034
197.5,222.3,24.14,0.0414
202.5,222.28,25.14,0.0398
207.5,222.3,22,0.0455
212.5,222.35,23.14,0.0432
217.5,222.39,21.75,0.046
222.5,222.44,21.37,0.0468
227.5,222.48,20.47,0.0489
232.5,222.53,19.88,0.0503
237.5,222.58,22.24,0.045
242.5,222.62,18.55,0.0539
247.5,222.67,20.99,0.0476
252.5,222.71,23.12,0.0433
257.5,222.76,25.07,0.0399
262.5,222.81,26.39,0.0379
267.5,222.85,26.64,0.0375
272.5,222.9,27.09,0.0369
277.5,222.94,29.32,0.0341
282.5,222.99,28.06,0.0356
287.5,223.03,28.45,0.0351
292.5,223.08,27.56,0.0363
297.5,223.13,29.37,0.034
302.5,223.15,32.08,0.0312
307.5,223.15,29.75,0.0336
312.5,223.15,28.89,0.0346
317.5,223.15,27.44,0.0364
322.5,223.15,27.24,0.0367
327.5,223.15,26.91,0.0372
332.5,223.15,29.04,0.0344
337.5,223.15,32.06,0.0312
342.5,223.15,34.36,0.0291
347.5,223.15,36.35,0.0275
352.5,223.15,34.56,0.0289
357.5,223.15,37.86,0.0264
362.5,223.15,37.16,0.0269
367.5,223.15,32.55,0.0307
372.5,223.15,33.27,0.0301
377.5,223.15,32.81,0.0305
382.5,223.15,35.23,0.0284
387.5,223.15,35.2,0.0284
392.5,223.15,36.48,0.0274
397.5,223.15,30.22,0.0331
402.5,223.12,29.5,0.0339
407.5,223.05,26.7,0.0375
412.5,222.97,27.82,0.0359
417.5,222.9,28.65,0.0349
422.5,222.82,29.77,0.0336
427.5,222.74,29.09,0.0344
432.5,222.67,27.48,0.0364
437.5,222.59,25.64,0.039
442.5,222.51,25.22,0.0397
447.5,222.44,22.72,0.044
452.5,222.36,21.13,0.0473
457.5,222.28,20.55,0.0487
462.5,222.21,19.53,0.0512
467.5,222.13,19.57,0.0511
472.5,222.05,20.12,0.0497
477.5,221.98,21.26,0.047
482.5,221.9,20.49,0.0488
487.5,221.83,22,0.0455
492.5,221.75,21.35,0.0468
497.5,221.68,23.75,0.0421
502.5,221.67,25.03,0.04
507.5,221.7,24.6,0.0407
512.5,221.73,27.07,0.0369
517.5,221.76,31.75,0.0315
522.5,221.79,30.11,0.0332
527.5,221.82,26.83,0.0373
532.5,221.85,26.73,0.0374
537.5,221.88,24.88,0.0402
542.5,221.91,24.69,0.0405
547.5,221.94,17.25,0.058
552.5,221.97,26.21,0.0382
557.5,222,26.15,0.0382
562.5,222.03,25.03,0.04
567.5,222.06,22.35,0.0447
572.5,222.09,21.41,0.0467
577.5,222.12,22.21,0.045
582.5,222.15,25.26,0.0396
587.5,222.18,24.95,0.0401
592.5,222.21,29.41,0.034
597.5,222.24,23.52,0.0425
602.5,222.26,23.86,0.0419
607.5,222.27,21.7,0.0461
612.5,222.29,24.57,0.0407
617.5,222.3,24.49,0.0408
622.5,222.32,24.56,0.0407
627.5,222.33,24.38,0.041
632.5,222.35,24.67,0.0405
637.5,222.36,23.43,0.0427
642.5,222.38,23.84,0.0419
647.5,222.39,23.78,0.0421
652.5,222.41,24.99,0.04
657.5,222.42,24.85,0.0402
662.5,222.44,24.15,0.0414
667.5,222.45,24.95,0.0401
672.5,222.47,28.58,0.035
677.5,222.48,30.5,0.0328
682.5,222.5,31.62,0.0316
687.5,222.51,32.41,0.0309
692.5,222.53,34.85,0.0287
697.5,222.54,36.08,0.0277
702.5,222.56,36.33,0.0275
707.5,222.57,36.54,0.0274
712.5,222.59,30.3,0.033
717.5,222.6,31.51,0.0317
722.5,222.62,34.68,0.0288
727.5,222.63,34.73,0.0288
732.5,222.65,31.63,0.0316
737.5,222.66,34.01,0.0294
742.5,222.68,34.97,0.0286
747.5,222.69,35.05,0.0285
752.5,222.71,35.56,0.0281
757.5,222.72,40.44,0.0247
762.5,222.74,38.5,0.026
767.5,222.75,39.33,0.0254
772.5,222.77,36.49,0.0274
777.5,222.78,36.66,0.0273
782.5,222.8,36.67,0.0273
787.5,222.81,35.3,0.0283
12.49,222.01,41.45,0.0241
17.49,221.95,41.58,0.0241
22.49,221.89,40.63,0.0246
27.49,221.83,40.25,0.0248
32.49,221.77,40.12,0.0249
37.49,221.72,39.88,0.0251
42.49,221.66,39.48,0.0253
47.49,221.6,39.37,0.0254
52.49,221.54,37.91,0.0264
57.49,221.49,36.36,0.0275
62.49,221.43,33.7,0.0297
67.49,221.37,33.44,0.0299
72.49,221.31,33.44,0.0299
77.49,221.26,33.48,0.0299
82.49,221.2,34.19,0.0292
87.49,221.14,35.24,0.0284
92.49,221.08,41.86,0.0239
97.49,221.02,40.58,0.0246
102.49,220.97,40.61,0.0246
107.49,220.91,35.4,0.0282
112.49,220.85,34.81,0.0287
117.49,220.78,34.79,0.0287
122.49,220.72,36.08,0.0277
127.49,220.66,38.53,0.026
132.49,220.6,38.27,0.0261
137.49,220.54,38.16,0.0262
142.49,220.48,37.96,0.0263
147.49,220.42,37.8,0.0265
152.49,220.36,37.79,0.0265
157.49,220.29,37.86,0.0264
162.49,220.23,37.9,0.0264
167.49,220.17,38.34,0.0261
172.49,220.11,38.37,0.0261
177.49,220.05,37.9,0.0264
182.49,219.99,37.26,0.0268
187.49,219.93,37.23,0.0269
192.49,219.87,36.25,0.0276
197.49,219.8,35.75,0.028
202.49,219.78,35.02,0.0286
207.49,219.8,30.8,0.0325
212.49,219.85,30.74,0.0325
217.49,219.89,30.02,0.0333
222.49,219.94,29.77,0.0336
227.49,219.98,25.96,0.0385
232.49,220.03,25.86,0.0387
237.49,220.08,25.81,0.0387
242.49,220.12,25.82,0.0387
247.49,220.17,30.09,0.0332
252.49,220.21,31.92,0.0313
257.49,220.26,32.36,0.0309
262.49,220.31,33.37,0.03
267.49,220.35,33.58,0.0298
272.49,220.4,35.37,0.0283
277.49,220.44,35.82,0.0279
282.49,220.49,35.91,0.0278
287.49,220.53,36.01,0.0278
292.49,220.58,36.89,0.0271
297.49,220.63,36.99,0.027
302.49,220.65,37.08,0.027
307.49,220.65,37.07,0.027
312.49,220.65,36.75,0.0272
317.49,220.65,36.7,0.0272
322.49,220.65,36.71,0.0272
327.49,220.65,36.99,0.027
332.49,220.65,37.91,0.0264
337.49,220.65,38.33,0.0261
342.49,220.65,38.52,0.026
347.49,220.65,38.59,0.0259
352.49,220.65,38.7,0.0258
357.49,220.65,39.72,0.0252
362.49,220.65,39.77,0.0251
367.49,220.65,39.82,0.0251
372.49,220.65,39.83,0.0251
377.49,220.65,39.84,0.0251
382.49,220.65,39.87,0.0251
387.49,220.65,39.79,0.0251
392.49,220.65,39.82,0.0251
397.49,220.65,39.43,0.0254
402.49,220.62,38.59,0.0259
407.49,220.55,36.37,0.0275
