X,Elevation,Resistivity,Conductivity
6.25,220.19,48.47,0.0206
8.75,220.19,19.98,0.05
11.25,220.2,18.61,0.0537
13.75,220.2,31.3,0.032
16.25,220.21,24.12,0.0415
18.75,220.21,23.76,0.0421
21.25,220.22,23.33,0.0429
23.75,220.22,23.61,0.0424
26.25,220.23,23.58,0.0424
28.75,220.23,22.61,0.0442
31.25,220.24,25.1,0.0398
33.75,220.24,25.17,0.0397
36.25,220.25,23.61,0.0424
38.75,220.26,24.09,0.0415
41.25,220.26,24.36,0.0411
43.75,220.27,22.89,0.0437
46.25,220.27,20.67,0.0484
48.75,220.28,28.67,0.0349
51.25,220.28,20.27,0.0493
53.75,220.29,29.56,0.0338
56.25,220.29,25.19,0.0397
58.75,220.3,26.91,0.0372
61.25,220.3,25.17,0.0397
63.75,220.31,26.11,0.0383
66.25,220.31,22.52,0.0444
68.75,220.32,36.38,0.0275
71.25,220.32,51.41,0.0194
73.75,220.33,23.19,0.0431
76.25,220.33,34.41,0.0291
78.75,220.34,47.95,0.0209
81.25,220.34,50.2,0.0199
83.75,220.35,21.34,0.0469
86.25,220.35,36.86,0.0271
88.75,220.36,22.85,0.0438
91.25,220.36,32.78,0.0305
93.75,220.37,21.01,0.0476
96.25,220.37,29.02,0.0345
98.75,220.38,16.49,0.0606
101.25,220.38,16.75,0.0597
103.75,220.39,12.8,0.0781
106.25,220.39,11.1,0.0901
108.75,220.4,19.7,0.0508
111.25,220.4,13.93,0.0718
113.75,220.41,20.4,0.049
116.25,220.41,14.99,0.0667
118.75,220.42,24.11,0.0415
121.25,220.42,18.58,0.0538
123.75,220.43,28,0.0357
126.25,220.43,26.12,0.0383
128.75,220.44,34.12,0.0293
131.25,220.44,34.01,0.0294
133.75,220.45,31.42,0.0318
136.25,220.45,30.76,0.0325
138.75,220.46,26.52,0.0377
141.25,220.46,25.88,0.0386
143.75,220.47,22.2,0.045
146.25,220.47,16.31,0.0613
148.75,220.48,19.19,0.0521
151.25,220.48,19.43,0.0515
153.75,220.49,12.59,0.0794
156.25,220.49,13.95,0.0717
158.75,220.5,27.11,0.0369
161.25,220.5,24.1,0.0415
163.75,220.51,21.82,0.0458
166.25,220.51,29.85,0.0335
168.75,220.52,29.62,0.0338
171.25,220.52,30.53,0.0328
173.75,220.53,35.38,0.0283
176.25,220.53,30.93,0.0323
178.75,220.54,40.28,0.0248
181.25,220.54,31.36,0.0319
183.75,220.55,43.52,0.023
186.25,220.55,36.2,0.0276
188.75,220.56,46.41,0.0215
191.25,220.56,35.69,0.028
193.75,220.57,35.47,0.0282
196.25,220.57,32.01,0.0312
198.75,220.58,27.35,0.0366
201.25,220.58,30.64,0.0326
203.75,220.58,30.3,0.033
206.25,220.59,30.68,0.0326
208.75,220.59,30.67,0.0326
211.25,220.59,32.46,0.0308
213.75,220.6,29.48,0.0339
216.25,220.6,32.45,0.0308
218.75,220.6,32.92,0.0304
221.25,220.6,32.19,0.0311
223.75,220.6,29.86,0.0335
226.25,220.6,29.42,0.034
228.75,220.6,32.77,0.0305
231.25,220.6,39.07,0.0256
233.75,220.6,30.79,0.0325
236.25,220.6,30.75,0.0325
