X,Elevation,Resistivity,Conductivity
11.25,219.06,24.35,0.0411
13.75,219.06,21.22,0.0471
16.25,219.06,20.91,0.0478
18.75,219.06,21.23,0.0471
21.25,219.07,22.16,0.0451
23.75,219.07,21.88,0.0457
26.25,219.07,21.84,0.0458
28.75,219.07,20.62,0.0485
31.25,219.08,23.06,0.0434
33.75,219.08,22.09,0.0453
36.25,219.08,24.96,0.0401
38.75,219.08,25.33,0.0395
41.25,219.09,29.69,0.0337
43.75,219.09,28.74,0.0348
46.25,219.09,31.93,0.0313
48.75,219.09,31.91,0.0313
51.25,219.09,31.73,0.0315
53.75,219.1,31.87,0.0314
56.25,219.1,31.28,0.032
58.75,219.1,30.03,0.0333
61.25,219.1,29.04,0.0344
63.75,219.11,35.82,0.0279
66.25,219.11,24.74,0.0404
68.75,219.11,31.89,0.0314
71.25,219.11,30.72,0.0325
73.75,219.12,31.24,0.032
76.25,219.12,30.7,0.0326
78.75,219.12,30.69,0.0326
81.25,219.12,29.42,0.034
83.75,219.13,28.31,0.0353
86.25,219.13,27.38,0.0365
88.75,219.13,27.88,0.0359
91.25,219.13,27.99,0.0357
93.75,219.14,27.23,0.0367
96.25,219.14,25.9,0.0386
98.75,219.14,29.61,0.0338
101.25,219.14,29.61,0.0338
103.75,219.15,29.47,0.0339
106.25,219.15,33.53,0.0298
108.75,219.15,33.63,0.0297
111.25,219.15,34.75,0.0288
113.75,219.16,33.55,0.0298
116.25,219.16,31.15,0.0321
118.75,219.16,31.11,0.0321
121.25,219.16,32.66,0.0306
123.75,219.17,32.3,0.031
126.25,219.17,29.91,0.0334
128.75,219.17,29.94,0.0334
131.25,219.17,31.59,0.0317
133.75,219.18,28.44,0.0352
136.25,219.18,29.06,0.0344
138.75,219.18,28.3,0.0353
141.25,219.18,28.14,0.0355
143.75,219.18,27.57,0.0363
146.25,219.19,26.3,0.038
148.75,219.19,29.73,0.0336
151.25,219.19,26.39,0.0379
153.75,219.19,26.68,0.0375
156.25,219.2,26.49,0.0377
158.75,219.2,26.52,0.0377
161.25,219.2,30.59,0.0327
163.75,219.2,30.61,0.0327
166.25,219.21,33.12,0.0302
168.75,219.21,29.78,0.0336
171.25,219.21,31.75,0.0315
173.75,219.21,27.59,0.0362
176.25,219.22,27.69,0.0361
178.75,219.22,27.81,0.036
181.25,219.22,28.44,0.0352
183.75,219.22,28.41,0.0352
186.25,219.23,23.36,0.0428
188.75,219.23,29.92,0.0334
191.25,219.23,25.18,0.0397
193.75,219.23,26.35,0.038
196.25,219.24,24.37,0.041
198.75,219.24,27.61,0.0362
201.25,219.24,27.08,0.0369
203.75,219.24,26.24,0.0381
206.25,219.25,27.63,0.0362
208.75,219.25,28.02,0.0357
211.25,219.25,28.08,0.0356
213.75,219.25,23.82,0.042
216.25,219.26,27.14,0.0368
218.75,219.26,29.42,0.034
221.25,219.26,29.38,0.034
223.75,219.26,29.52,0.0339
226.25,219.27,32.78,0.0305
228.75,219.27,32.67,0.0306
231.25,219.27,37,0.027
233.75,219.27,30.41,0.0329
236.25,219.28,33.38,0.03
238.75,219.28,33.28,0.03
241.25,219.28,34.21,0.0292
243.75,219.28,28.76,0.0348
246.25,219.29,32.12,0.0311
248.75,219.29,29.87,0.0335
251.25,219.29,29.87,0.0335
253.75,219.29,31.89,0.0314
256.25,219.3,34.91,0.0286
258.75,219.3,35.61,0.0281
261.25,219.3,31.35,0.0319
263.75,219.3,35.1,0.0285
266.25,219.31,31.92,0.0313
268.75,219.31,32.64,0.0306
271.25,219.31,31.95,0.0313
273.75,219.31,30.49,0.0328
276.25,219.32,29.56,0.0338
278.75,219.32,29.45,0.034
281.25,219.32,30.21,0.0331
283.75,219.32,31,0.0323
286.25,219.33,30.76,0.0325
288.75,219.33,31.98,0.0313
291.25,219.33,30.95,0.0323
293.75,219.33,32.53,0.0307
296.25,219.34,34.81,0.0287
298.75,219.34,34.79,0.0287
301.25,219.34,37.49,0.0267
303.75,219.34,38.14,0.0262
306.25,219.34,37.33,0.0268
308.75,219.35,37.38,0.0268
311.25,219.35,37.76,0.0265
313.75,219.35,38.52,0.026
316.25,219.35,44.63,0.0224
318.75,219.36,44.62,0.0224
321.25,219.36,44.58,0.0224
323.75,219.36,44.83,0.0223
326.25,219.36,45.34,0.0221
328.75,219.37,39.87,0.0251
331.25,219.37,43.42,0.023
333.75,219.37,45.42,0.022
336.25,219.37,46.78,0.0214
338.75,219.38,44.53,0.0225
341.25,219.38,44.23,0.0226
343.75,219.38,44.72,0.0224
346.25,219.38,40.94,0.0244
348.75,219.39,40.98,0.0244
351.25,219.39,36.3,0.0275
353.75,219.39,37.57,0.0266
356.25,219.39,40.54,0.0247
358.75,219.4,46.61,0.0215
361.25,219.4,46.15,0.0217
363.75,219.4,45.92,0.0218
366.25,219.4,49.91,0.02
368.75,219.41,45.37,0.022
371.25,219.41,45.2,0.0221
373.75,219.41,45.69,0.0219
376.25,219.41,47.29,0.0211
378.75,219.42,48.84,0.0205
381.25,219.42,55.68,0.018
383.75,219.42,45.14,0.0222
386.25,219.42,54.66,0.0183
388.75,219.43,44.81,0.0223
391.25,219.43,42.51,0.0235
393.75,219.43,40.47,0.0247
396.25,219.43,42.16,0.0237
398.75,219.44,43.69,0.0229
401.25,219.44,42.87,0.0233
403.75,219.44,49.14,0.0203
406.25,219.44,44.4,0.0225
408.75,219.45,40.91,0.0244
411.25,219.45,44.4,0.0225
413.75,219.45,43.31,0.0231
416.25,219.45,43.26,0.0231
418.75,219.45,45.47,0.022
421.25,219.46,40.67,0.0246
423.75,219.46,43.06,0.0232
426.25,219.46,40.25,0.0248
428.75,219.46,41.5,0.0241
431.25,219.47,33.06,0.0302
433.75,219.47,39.2,0.0255
436.25,219.47,35.56,0.0281
438.75,219.47,45.32,0.0221
441.25,219.48,46.26,0.0216
443.75,219.48,46.32,0.0216
446.25,219.48,52.88,0.0189
448.75,219.48,53.48,0.0187
451.25,219.49,50.42,0.0198
