X,Elevation,Resistivity,Conductivity
6.25,219.45,25.78,0.0388
8.75,219.45,26.37,0.0379
11.25,219.45,26.44,0.0378
13.75,219.46,26.43,0.0378
16.25,219.46,27.5,0.0364
18.75,219.47,28.67,0.0349
21.25,219.47,29.07,0.0344
23.75,219.48,28.95,0.0345
26.25,219.48,28.54,0.035
28.75,219.49,28.56,0.035
31.25,219.49,28.22,0.0354
33.75,219.5,28.25,0.0354
36.25,219.5,26,0.0385
38.75,219.51,26.07,0.0384
41.25,219.51,25.49,0.0392
43.75,219.51,25.53,0.0392
46.25,219.52,24.12,0.0415
48.75,219.52,28.23,0.0354
51.25,219.53,26.3,0.038
53.75,219.53,29.38,0.034
56.25,219.54,26.91,0.0372
58.75,219.54,30.81,0.0325
61.25,219.55,29.57,0.0338
63.75,219.55,29.57,0.0338
66.25,219.56,29.51,0.0339
68.75,219.56,29.64,0.0337
71.25,219.57,33.42,0.0299
73.75,219.57,31.97,0.0313
76.25,219.58,32.31,0.031
78.75,219.58,32.23,0.031
81.25,219.58,32.06,0.0312
83.75,219.59,31.23,0.032
86.25,219.59,37.69,0.0265
88.75,219.6,25.51,0.0392
91.25,219.6,30.63,0.0327
93.75,219.61,37.11,0.0269
96.25,219.61,34.72,0.0288
98.75,219.62,31.22,0.032
101.25,219.62,30.98,0.0323
103.75,219.63,30.85,0.0324
106.25,219.63,31.39,0.0319
108.75,219.64,32.39,0.0309
111.25,219.64,34.69,0.0288
113.75,219.65,35.06,0.0285
116.25,219.65,32.65,0.0306
118.75,219.65,34.72,0.0288
121.25,219.66,34.73,0.0288
123.75,219.66,34.02,0.0294
126.25,219.67,37.98,0.0263
128.75,219.67,37.99,0.0263
131.25,219.68,34.19,0.0293
133.75,219.68,34.04,0.0294
136.25,219.69,34.73,0.0288
138.75,219.69,34.48,0.029
141.25,219.7,33.25,0.0301
143.75,219.7,32.6,0.0307
146.25,219.71,31.02,0.0322
148.75,219.71,33.83,0.0296
151.25,219.71,32.58,0.0307
153.75,219.72,34.36,0.0291
156.25,219.72,30.75,0.0325
158.75,219.73,32.36,0.0309
161.25,219.73,30.88,0.0324
163.75,219.74,29.22,0.0342
166.25,219.74,31.1,0.0322
168.75,219.75,26.77,0.0374
171.25,219.75,26.51,0.0377
173.75,219.76,26.34,0.038
176.25,219.76,28.76,0.0348
178.75,219.77,28.23,0.0354
181.25,219.77,29.14,0.0343
183.75,219.77,32.22,0.031
186.25,219.78,26.9,0.0372
188.75,219.78,27.67,0.0361
191.25,219.79,26.89,0.0372
193.75,219.79,26.88,0.0372
196.25,219.8,26.78,0.0373
198.75,219.8,26.72,0.0374
201.25,219.81,30.77,0.0325
203.75,219.81,29.13,0.0343
206.25,219.82,30.29,0.033
208.75,219.82,29.32,0.0341
211.25,219.83,30,0.0333
213.75,219.83,25.85,0.0387
216.25,219.83,26,0.0385
218.75,219.84,24.28,0.0412
221.25,219.84,24.47,0.0409
223.75,219.85,23.89,0.0419
226.25,219.85,22.65,0.0442
228.75,219.86,22.69,0.0441
231.25,219.86,21.03,0.0475
233.75,219.87,21.43,0.0467
236.25,219.87,20.8,0.0481
238.75,219.88,23.18,0.0431
241.25,219.88,22.59,0.0443
243.75,219.89,22.68,0.0441
246.25,219.89,22.23,0.045
248.75,219.9,22.48,0.0445
251.25,219.9,20.18,0.0495
253.75,219.91,21.43,0.0467
256.25,219.91,22.01,0.0454
258.75,219.91,22.02,0.0454
261.25,219.92,20.77,0.0481
263.75,219.92,20.07,0.0498
266.25,219.93,21.44,0.0466
268.75,219.93,21.52,0.0465
271.25,219.94,23.58,0.0424
273.75,219.94,22.6,0.0442
276.25,219.95,21,0.0476
278.75,219.95,20.69,0.0483
281.25,219.96,24.17,0.0414
283.75,219.96,23.18,0.0431
286.25,219.97,23.59,0.0424
288.75,219.97,23.38,0.0428
291.25,219.98,22.66,0.0441
293.75,219.98,22.67,0.0441
296.25,219.98,21.4,0.0467
298.75,219.99,19.16,0.0522
301.25,219.99,21.42,0.0467
303.75,220,20.75,0.0482
306.25,220,21.29,0.047
308.75,220.01,22.13,0.0452
311.25,220.01,24.37,0.041
313.75,220.02,26.83,0.0373
316.25,220.02,26.82,0.0373
318.75,220.03,29.01,0.0345
321.25,220.03,26.33,0.038
323.75,220.04,28.12,0.0356
326.25,220.04,23.48,0.0426
328.75,220.04,22.12,0.0452
331.25,220.05,16.72,0.0598
333.75,220.05,16.72,0.0598
336.25,220.06,19.67,0.0508
338.75,220.06,19.38,0.0516
341.25,220.07,18.31,0.0546
