X,Elevation,Resistivity,Conductivity
12.5,203.09,100.13,0.009987
17.5,203.11,63.85,0.0157
22.5,203.12,57.9,0.0173
27.5,203.14,61.81,0.0162
32.5,203.15,44.99,0.0222
37.5,203.17,35.84,0.0279
42.5,203.19,26.5,0.0377
47.5,203.2,32.15,0.0311
52.5,203.22,32.02,0.0312
57.5,203.24,29.05,0.0344
62.5,203.25,36.33,0.0275
67.5,203.27,35.61,0.0281
72.5,203.28,33.76,0.0296
77.5,203.3,31.95,0.0313
82.5,203.32,34.66,0.0289
87.5,203.33,21.54,0.0464
92.5,203.35,43.26,0.0231
97.5,203.36,42.12,0.0237
102.5,203.38,59.15,0.0169
107.5,203.39,53.6,0.0187
112.5,203.41,61.72,0.0162
117.5,203.42,61.77,0.0162
122.5,203.44,75.69,0.0132
127.5,203.45,81.4,0.0123
132.5,203.47,60.52,0.0165
137.5,203.48,74.91,0.0133
142.5,203.5,51.23,0.0195
147.5,203.51,79.7,0.0125
152.5,203.53,72.43,0.0138
157.5,203.54,146.98,0.006804
162.5,203.56,149.68,0.006681
167.5,203.57,136.39,0.007332
172.5,203.59,170.63,0.005861
177.5,203.6,131.9,0.007582
182.5,203.62,119.29,0.008383
187.5,203.63,92.84,0.0108
192.5,203.64,82.6,0.0121
197.5,203.65,63.56,0.0157
202.5,203.65,49.6,0.0202
207.5,203.65,54.69,0.0183
212.5,203.65,48.59,0.0206
217.5,203.65,51.35,0.0195
222.5,203.65,58.46,0.0171
227.5,203.65,74.91,0.0133
232.5,203.65,58.32,0.0171
237.5,203.65,47.06,0.0212
242.5,203.65,66.17,0.0151
247.5,203.65,68.3,0.0146
252.5,203.65,51.41,0.0195
257.5,203.65,71.97,0.0139
262.5,203.65,81.51,0.0123
267.5,203.65,75.38,0.0133
272.5,203.65,60.42,0.0166
277.5,203.65,47.17,0.0212
282.5,203.65,42.05,0.0238
287.5,203.65,41.45,0.0241
292.5,203.65,42.93,0.0233
297.5,203.66,42.69,0.0234
302.5,203.68,42.07,0.0238
307.5,203.69,41.92,0.0239
312.5,203.71,37.41,0.0267
317.5,203.72,37.17,0.0269
322.5,203.74,31.92,0.0313
327.5,203.75,31.88,0.0314
332.5,203.77,30.78,0.0325
337.5,203.78,32.49,0.0308
342.5,203.8,32.5,0.0308
347.5,203.81,45.8,0.0218
352.5,203.83,41.37,0.0242
357.5,203.84,42.43,0.0236
362.5,203.86,41.36,0.0242
367.5,203.87,30.62,0.0327
372.5,203.89,30.08,0.0332
377.5,203.9,32.24,0.031
382.5,203.92,30.29,0.033
387.5,203.93,30.44,0.0329
392.5,203.95,28.02,0.0357
397.5,203.95,26.63,0.0376
402.5,203.95,25.62,0.039
407.5,203.95,26.72,0.0374
412.5,203.95,30.94,0.0323
417.5,203.95,34.14,0.0293
422.5,203.95,34.04,0.0294
427.5,203.95,36.12,0.0277
432.5,203.95,38.21,0.0262
437.5,203.95,41.99,0.0238
442.5,203.95,38.75,0.0258
447.5,203.95,47.98,0.0208
452.5,203.95,43.98,0.0227
457.5,203.95,53.59,0.0187
462.5,203.95,45.33,0.0221
467.5,203.95,62.1,0.0161
472.5,203.95,49.11,0.0204
477.5,203.95,49.28,0.0203
482.5,203.95,50.85,0.0197
487.5,203.94,57.93,0.0173
492.5,203.92,52.37,0.0191
497.5,203.89,55.19,0.0181
502.5,203.86,56.31,0.0178
507.5,203.84,55.13,0.0181
512.5,203.81,55,0.0182
517.5,203.79,54.08,0.0185
522.5,203.76,51.01,0.0196
527.5,203.73,55.36,0.0181
532.5,203.71,57.28,0.0175
