X,Elevation,Resistivity,Conductivity
7.51,200.92,38.38,0.0261
12.51,200.15,39.2,0.0255
17.51,199.39,41.29,0.0242
22.51,198.67,32.18,0.0311
27.51,197.92,41.89,0.0239
32.51,197.15,27.64,0.0362
37.51,196.52,21.36,0.0468
42.51,196.05,18.28,0.0547
47.51,195.89,13.88,0.072
52.51,196.09,54.43,0.0184
57.51,196.35,54.45,0.0184
62.51,196.6,21.11,0.0474
67.51,196.93,20.24,0.0494
72.51,197.35,22.64,0.0442
77.51,197.78,25.66,0.039
82.51,198.24,26.53,0.0377
87.51,198.78,27.29,0.0366
92.51,199.37,28.15,0.0355
97.51,199.91,39.57,0.0253
102.51,200.4,37.31,0.0268
107.51,200.88,36.01,0.0278
112.51,201.25,35.61,0.0281
117.51,201.47,29.42,0.034
122.51,201.65,38.91,0.0257
127.51,201.84,30.46,0.0328
132.51,202.02,31.05,0.0322
137.51,202.2,33.25,0.0301
142.51,202.38,32.36,0.0309
147.51,202.56,35.52,0.0282
152.51,202.73,39.7,0.0252
157.51,202.87,41.02,0.0244
162.51,203.01,44.94,0.0223
167.51,203.14,44.23,0.0226
172.51,203.27,41.88,0.0239
177.51,203.4,35.57,0.0281
182.51,203.53,31.43,0.0318
187.51,203.67,36.5,0.0274
192.51,203.74,36.33,0.0275
197.51,203.75,34.16,0.0293
202.51,203.75,47.72,0.021
207.51,203.75,44.17,0.0226
212.51,203.75,48.73,0.0205
217.51,203.75,63.03,0.0159
222.51,203.75,45.7,0.0219
227.51,203.75,53.77,0.0186
232.51,203.75,52.82,0.0189
237.51,203.75,53.96,0.0185
242.51,203.75,63.19,0.0158
247.51,203.75,64.43,0.0155
252.51,203.75,60.14,0.0166
257.51,203.75,67.63,0.0148
262.51,203.75,66.66,0.015
267.51,203.75,86.34,0.0116
272.51,203.75,53.39,0.0187
277.51,203.75,76.44,0.0131
282.51,203.75,64.09,0.0156
287.51,203.75,73.46,0.0136
292.51,203.75,60.09,0.0166
297.51,203.73,69.85,0.0143
302.51,203.68,86.54,0.0116
307.51,203.61,68.46,0.0146
312.51,203.54,84.18,0.0119
317.51,203.46,63.33,0.0158
322.51,203.39,77.37,0.0129
327.51,203.32,52.33,0.0191
332.51,203.25,73.33,0.0136
337.51,203.18,78.6,0.0127
342.51,203.1,77.86,0.0128
347.51,203.03,54.92,0.0182
352.51,202.96,47.02,0.0213
357.51,202.89,35.5,0.0282
362.51,202.82,25.69,0.0389
367.51,202.72,17.88,0.0559
372.51,202.58,22.73,0.044
377.51,202.41,29.1,0.0344
382.51,202.25,27.17,0.0368
387.51,202.09,48.24,0.0207
392.51,201.93,26.58,0.0376
397.51,201.78,15.29,0.0654
402.51,201.66,21.56,0.0464
407.51,201.55,25.32,0.0395
412.51,201.45,26.26,0.0381
417.51,201.35,29.63,0.0337
422.51,201.2,22.78,0.0439
