X,Elevation,Resistivity,Conductivity
6.25,213.91,38.76,0.0258
8.75,213.89,23.26,0.043
11.25,213.87,24.52,0.0408
13.75,213.85,28.33,0.0353
16.25,213.82,19,0.0526
18.75,213.8,28.05,0.0357
21.25,213.78,30.95,0.0323
23.75,213.76,31.1,0.0322
26.25,213.73,27.41,0.0365
28.75,213.71,25.41,0.0394
31.25,213.69,23.92,0.0418
33.75,213.67,22.07,0.0453
36.25,213.64,18.31,0.0546
38.75,213.62,18.56,0.0539
41.25,213.6,22.27,0.0449
43.75,213.57,16.72,0.0598
46.25,213.55,16.92,0.0591
48.75,213.53,20.76,0.0482
51.25,213.51,16.37,0.0611
53.75,213.48,15.86,0.063
56.25,213.46,15.99,0.0625
58.75,213.44,15.49,0.0645
61.25,213.42,18.4,0.0544
63.75,213.39,18.26,0.0548
66.25,213.37,16.44,0.0608
68.75,213.35,16.86,0.0593
71.25,213.33,17.52,0.0571
73.75,213.3,22.17,0.0451
76.25,213.28,16.79,0.0596
78.75,213.26,18.83,0.0531
81.25,213.24,19.87,0.0503
83.75,213.21,18.05,0.0554
86.25,213.19,19.76,0.0506
88.75,213.17,20.35,0.0491
91.25,213.15,23.27,0.043
93.75,213.13,23.32,0.0429
96.25,213.11,26.36,0.0379
98.75,213.09,23.09,0.0433
101.25,213.09,28.59,0.035
103.75,213.1,22.58,0.0443
106.25,213.11,30.32,0.033
108.75,213.12,29.73,0.0336
111.25,213.13,32.84,0.0305
113.75,213.15,23.78,0.042
116.25,213.16,24.21,0.0413
118.75,213.17,39.55,0.0253
121.25,213.19,23.45,0.0426
123.75,213.2,24.82,0.0403
126.25,213.21,21.4,0.0467
128.75,213.23,17.31,0.0578
131.25,213.24,14.3,0.0699
133.75,213.26,17.26,0.0579
136.25,213.27,16.8,0.0595
138.75,213.28,21.2,0.0472
141.25,213.3,16.5,0.0606
143.75,213.31,18.81,0.0532
146.25,213.33,18.98,0.0527
148.75,213.34,18.9,0.0529
151.25,213.35,22.89,0.0437
153.75,213.37,16.93,0.0591
156.25,213.38,22.35,0.0447
158.75,213.4,25.12,0.0398
161.25,213.41,33.28,0.03
163.75,213.42,12.42,0.0805
166.25,213.44,33.83,0.0296
168.75,213.45,29.31,0.0341
171.25,213.46,24.17,0.0414
173.75,213.47,24.75,0.0404
176.25,213.49,29.01,0.0345
178.75,213.5,29.69,0.0337
181.25,213.51,20.87,0.0479
183.75,213.52,23.07,0.0433
186.25,213.53,21.79,0.0459
188.75,213.54,35.9,0.0279
191.25,213.55,18.02,0.0555
193.75,213.55,19.94,0.0501
196.25,213.55,18.63,0.0537
198.75,213.52,23.47,0.0426
201.25,213.45,24.21,0.0413
203.75,213.35,14.46,0.0692
206.25,213.21,12.27,0.0815
208.75,213.07,20.75,0.0482
211.25,212.93,22,0.0455
213.75,212.78,8.39,0.1192
216.25,212.64,19.91,0.0502
218.75,212.49,16.61,0.0602
221.25,212.34,15.83,0.0632
223.75,212.19,22.56,0.0443
226.25,212.04,25.61,0.0391
228.75,211.89,13.98,0.0715
231.25,211.74,35.44,0.0282
233.75,211.59,33.91,0.0295
236.25,211.44,33.55,0.0298
238.75,211.29,12.9,0.0775
241.25,211.14,30.12,0.0332
243.75,210.99,30.76,0.0325
246.25,210.84,23.82,0.042
248.75,210.69,22.3,0.0448
251.25,210.54,20.3,0.0493
253.75,210.39,50.76,0.0197
256.25,210.24,38.9,0.0257
258.75,210.08,29.21,0.0342
261.25,209.93,26.65,0.0375
263.75,209.78,14.95,0.0669
266.25,209.63,14.5,0.069
268.75,209.48,14.63,0.0684
271.25,209.33,15.4,0.0649
273.75,209.18,29.07,0.0344
276.25,209.03,33.93,0.0295
278.75,208.88,33.9,0.0295
281.25,208.73,41.39,0.0242
283.75,208.57,43.94,0.0228
286.25,208.42,51.17,0.0195
288.75,208.27,29.6,0.0338
291.25,208.12,36.37,0.0275
293.75,207.97,59.63,0.0168
296.25,207.82,52.93,0.0189
298.75,207.67,40.49,0.0247
301.25,207.52,54.58,0.0183
303.75,207.36,35.84,0.0279
306.25,207.21,29.42,0.034
308.75,207.06,29.47,0.0339
311.25,206.91,29.45,0.034
313.75,206.76,41.97,0.0238
316.25,206.61,39.28,0.0255
318.75,206.46,26.57,0.0376
321.25,206.31,26.69,0.0375
323.75,206.16,37.8,0.0265
326.25,206,24.6,0.0407
328.75,205.85,31.68,0.0316
331.25,205.7,24.29,0.0412
333.75,205.55,24.36,0.041
336.25,205.4,24.31,0.0411
338.75,205.25,32.12,0.0311
341.25,205.1,31.29,0.032
343.75,204.95,24.25,0.0412
346.25,204.8,23.9,0.0418
348.75,204.64,32.07,0.0312
