Project Name    ,ProfileName,ProfileLength,Array,Date,Start E,Start N,End E,End N,image,County Name,Mean E,Mean N,Log(),Lat(),X(km),Y(km)
Rantoul2014,lrrant01,1500,Dipole-Dipole: ,6/19/2014,393711,4458199,395208,4458198,rant01.png,Champaign,394460,4458199,-88.241258,40.26761,-1.20 ,18.41 
Rantoul2014,lrrant2s,1400,Dipole-Dipole:,6/19/2014,393594,4458093,393590,4456692,rant02.png,Champaign,393592,4457393,-88.25133,40.26024,-2.05 ,17.59 
Rantoul2014,lrranta1,600,Dipole-Dipole:,6/20/2014,394627,4467930,395228,4467936,rantA1.png,Champaign,394928,4467933,-88.237354,40.355345,-0.86 ,28.16 
Rantoul2014,lrrana1c,1475,Dipole-Dipole:,6/25/2014,395377,4467939,396861,4467940,rantA1C.png,Champaign,396119,4467940,-88.223333,40.355557,0.32 ,28.18 
Rantoul2014,lrrant05,790,Dipole-Dipole:,7/1/2014,398546,4459820,399339,4459810,rant05.png,Champaign,398943,4459815,-88.188799,40.28272,3.26 ,20.09 
Rantoul2014,lrrant06,600,Dipole-Dipole: ,7/29/2014,394462,4469574,393860,4469572,rant06.png,Champaign,394161,4469573,-88.246657,40.37002,-1.65 ,29.79 
Rantoul2014,lrrant08,1575,Dipole-Dipole:,7/29/2014,393643,4469568,392065,4469587,rant08.png,Champaign,392854,4469578,-88.262049,40.369898,-2.96 ,29.78 
Rantoul2014,lrrant09,1585,Dipole-Dipole:,7/31/2014,392039,4469592,390460,4469589,rant09.png,Champaign,391250,4469591,-88.28094,40.369807,-4.56 ,29.77 
Mahomet16,wthth1_2 ,2390,Dipole-Dipole:,7/12/2016,374533,4443774,374580,4446199,wthth1_2.png,Piatt,374557,4444987,-88.472692,40.145869,-20.89 ,4.88 
LodgePark07,lrlodge1,1195,Dipole-Dipole: ,10/3/2007,366420,4435930,365632,4436814,lodge1.png,Piatt,366026,4436372,-88.571024,40.066963,-29.29 ,-3.89 
LodgePark07,lrlodge2,570,Dipole-Dipole:,10/3/2007,365704,4436814,365942,4437316,lodge.png,Piatt,365823,4437065,-88.573548,40.073173,-29.51 ,-3.20 
Riverbend07,lrrivrb1,600,Dipole-Dipole: ,10/2/2007,378600,4449189,378976,4449657,LRRIVRB1a.png,Champaign,378788,4449423,-88.42387,40.186444,-16.73 ,9.39 
AllertonPk08,lruiap01,1100,Dipole-Dipole:,8/24/2008,357617,4427891,358570,4428059,lruiap01.png,Piatt,358094,4427975,-88.662165,39.990042,-37.10 ,-12.44 
AllertonPk08,lruiap9,1400,Dipole-Dipole: ,8/24/2008,358125,4428700,359204,4429508,lruiap9.png,Piatt,358665,4429104,-88.655725,40.000306,-36.55 ,-11.30 
Fisher2004,lrf0005,800,Wenner,6/4/2004,388711,4455812,387911,4455824,LRF0005.png,Champaign,388311,4455818,-88.313144,40.245366,-7.31 ,15.94 
